CUSIP,SEC_SYM,MF_FAM_DESC,MF_NM,Fund_ID,Brand,Mstar_Cat,US_cat,Is_SMA_or_529,Allowable_List,Is_Master_List_Fund,Real_Share_Class,Broad_Category
QVNB4GH2M,WSHAX,NUVEEN,NUVEEN Growth Fund S,FSCAPUT3V8,Nuveen,US Fund Small Growth,US Fund Small Growth,N,Y,N,Y,Commodities
2DHYLURTP,TISHX,CAPITAL GROUP,CAPITAL GROUP Growth Fund A,FSINVHRONH,capital group,US Fund Large Growth,US Fund Large Growth,N,Y,N,Y,Allocation
V1V93KMKZ,DBBHX,PIMCO,PIMCO Allocation Fund A,FSC3796172,PIMCO,US Fund Moderate Allocation,US Fund Moderate Allocation,Y,N,N,Y,Allocation
8J5ECRUYF,VYCGX,INVESCO,INVESCO Bond Fund INST,FSINV30AHC,Invesco,US Fund High Yield Bond,US Fund High Yield Bond,Y,Y,N,N,Fixed Income
C8D1WJCIT,EKRMX,FRANKLIN TEMPLETON,FRANKLIN TEMPLETON Estate Fund C,FSC7392545,Franklin Templeton,US Fund Real Estate,US Fund Real Estate,N,Y,N,Y,US Equity
WX7PTX63C,EHTOX,DWS FUNDS,DWS FUNDS Allocation Fund A,FSCAPPGOXS,DWS,US Fund Moderate Allocation,US Fund Moderate Allocation,N,Y,N,Y,Sector Equity
BPLJD84U8,ZRHBX,PIMCO,PIMCO Blend Fund A,FSCAPPXIH2,PIMCO,US Fund Mid-Cap Blend,US Fund Mid-Cap Blend,N,Y,N,Y,Sector Equity
DMLY4LYK8,VOLIX,BLACKROCK,BLACKROCK Value Fund C,FSINVW6LMH,BlackRock,US Fund Large Value,US Fund Large Value,N,Y,Y,Y,Allocation
BSWRPBJEK,WMAQX,JPMORGAN,JPMORGAN Growth Fund INV,FSINVVT0VG,JPMorgan,US Fund Large Growth,US Fund Large Growth,N,Y,Y,Y,Allocation
QE3RZSJ49,GOJXX,BLACKROCK,BLACKROCK Allocation Fund INST,FSCAPJJ3ZW,BlackRock,US Fund Moderate Allocation,US Fund Moderate Allocation,N,Y,Y,N,Sector Equity
3KKV9RFTM,OOLIX,FRANKLIN TEMPLETON,FRANKLIN TEMPLETON Growth Fund INST,FSUSA9SEXI,Franklin Templeton,US Fund Small Growth,US Fund Small Growth,N,Y,Y,Y,Fixed Income
3NX39RBSV,WWLNX,CAPITAL GROUP,CAPITAL GROUP Growth Fund A,FSINV8R1QP,capital group,US Fund Small Growth,US Fund Small Growth,N,Y,Y,Y,US Equity
WOCLYT8W5,MOQGX,T ROWE PRICE,T ROWE PRICE Blend Fund INST,FSINVVY2S9,T. Rowe Price,US Fund Large Blend,US Fund Large Blend,N,Y,Y,Y,Allocation
Y6B2KNFTU,UECWX,VANGUARD,VANGUARD Bond Fund INV,FSUSAF3MVF,Vanguard,US Fund Short-Term Bond,US Fund Short-Term Bond,Y,Y,Y,Y,International Equity
TC89K8YQK,ZWCJX,LORD ABBETT,LORD ABBETT Bond Fund A,FSC2646842,Lord Abbett,US Fund High Yield Bond,US Fund High Yield Bond,N,Y,Y,N,Sector Equity
2960361I2,FEGTX,JPMORGAN,JPMORGAN Bond Fund A,FSCAP0TE0V,JPMorgan,US Fund Multisector Bond,US Fund Multisector Bond,N,Y,N,Y,US Equity
DK0GET8T6,VGVMX,BLACKROCK,BLACKROCK Bond Fund INST,FSC6963457,BlackRock,US Fund High Yield Bond,US Fund High Yield Bond,N,N,Y,Y,US Equity
YYO4UDOJE,JTGJX,BLACKROCK,BLACKROCK Bond Fund INST,FSCAPSG2R8,BlackRock,US Fund Short-Term Bond,US Fund Short-Term Bond,N,Y,Y,Y,Commodities
QZXEBB9EI,NKJYX,VANGUARD,VANGUARD Bond Fund A,FSC4693666,Vanguard,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond,N,N,Y,Y,Sector Equity
HQIN9N6XC,HZYVX,MFS,MFS Blend Fund C,FSC8686926,MFS,US Fund Small Blend,US Fund Small Blend,Y,Y,Y,N,Commodities
3TV3I12VJ,ZZOUX,AMERICAN FUNDS,AMERICAN FUNDS Bond Fund A,FSUSA1CZS7,capital group,US Fund High Yield Bond,US Fund High Yield Bond,N,Y,Y,Y,Allocation
S0R2SDS8B,UWNLX,AMERICAN FUNDS,AMERICAN FUNDS Bond Fund INST,FSC0723107,capital group,US Fund High Yield Bond,US Fund High Yield Bond,N,Y,Y,Y,Alternative
LFEWVZNVK,NLUCX,DWS FUNDS,DWS FUNDS Blend Fund INV,FSINVF3PFW,DWS,US Fund Large Blend,US Fund Large Blend,N,Y,N,Y,Alternative
LJ8YRDDP0,JDBYX,VANGUARD,VANGUARD Bond Fund INST,FSC4848373,Vanguard,US Fund High Yield Bond,US Fund High Yield Bond,N,N,Y,Y,US Equity
8VMUHXID4,JTOUX,FRANKLIN TEMPLETON,FRANKLIN TEMPLETON Bond Fund INST,FSINVCNRVP,Franklin Templeton,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond,N,Y,N,Y,Fixed Income
17MGFXC08,CNJLX,NUVEEN,NUVEEN Blend Fund INV,FSUSALNO19,Nuveen,US Fund Small Blend,US Fund Small Blend,N,Y,N,Y,US Equity
WYJXRPJ1E,LHRMX,INVESCO,INVESCO Bond Fund A,FSCAPRK315,Invesco,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond,N,N,Y,Y,Fixed Income
1KERPETIU,RJKTX,VANGUARD,VANGUARD Bond Fund A,FSINVZ17YR,Vanguard,US Fund Short-Term Bond,US Fund Short-Term Bond,N,Y,Y,Y,Fixed Income
EAL2W37D4,GPNKX,FIDELITY,FIDELITY Blend Fund C,FSUSAVKKPF,Fidelity,US Fund Large Blend,US Fund Large Blend,N,N,Y,Y,International Equity
1M8XFDJGF,TBYQX,PIMCO,PIMCO Growth Fund A,FSCAPS2MJ6,PIMCO,US Fund Small Growth,US Fund Small Growth,N,N,N,Y,Allocation
8LPQW2VMC,MAJHX,T ROWE PRICE,T ROWE PRICE Estate Fund S,FSINVOVNZB,T. Rowe Price,US Fund Real Estate,US Fund Real Estate,N,Y,Y,N,Commodities
6Q3XLRFCD,XISNX,VANGUARD,VANGUARD Allocation Fund INV,FSUSAMIGJS,Vanguard,US Fund Tactical Allocation,US Fund Tactical Allocation,N,Y,Y,N,US Equity
N1YBWMLUN,GWZPX,INVESCO,INVESCO Blend Fund A,FSINVZILDX,Invesco,US Fund Large Blend,US Fund Large Blend,N,Y,N,Y,US Equity
UXLEZ896D,RNAIX,INVESCO,INVESCO Bond Fund A,FSC9366170,Invesco,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond,N,N,Y,Y,Commodities
ST0SX5WVF,ESQXX,CAPITAL GROUP,CAPITAL GROUP Bond Fund INST,FSINV6Z5AS,capital group,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond,N,Y,Y,Y,US Equity
QTL3Q4N89,MHJNX,MFS,MFS Blend Fund A,FSCAPO8FAQ,MFS,US Fund Mid-Cap Blend,US Fund Mid-Cap Blend,N,N,Y,Y,Sector Equity
EDFQS3D63,XYKKX,INVESCO,INVESCO Allocation Fund A,FSC8043975,Invesco,US Fund Tactical Allocation,US Fund Tactical Allocation,N,Y,Y,Y,Sector Equity
2EK3ZEZQA,CGVOX,JPMORGAN,JPMORGAN Allocation Fund A,FSUSAD1XUN,JPMorgan,US Fund Moderate Allocation,US Fund Moderate Allocation,N,Y,Y,Y,Alternative
WC4RTWUZK,AJOEX,MFS,MFS Bond Fund C,FSUSAR848N,MFS,US Fund Multisector Bond,US Fund Multisector Bond,N,Y,Y,Y,Sector Equity
OQW9JA2M0,QUTIX,VANGUARD,VANGUARD Growth Fund C,FSCAP2IIZJ,Vanguard,US Fund Large Growth,US Fund Large Growth,N,Y,Y,Y,Commodities
7BH25LLO3,MAQHX,DWS FUNDS,DWS FUNDS Bond Fund C,FSC8694117,DWS,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond,N,Y,N,N,Allocation
8MGYN2JCP,LZEHX,NUVEEN,NUVEEN Estate Fund A,FSCAP9SFEF,Nuveen,US Fund Real Estate,US Fund Real Estate,N,Y,Y,N,Alternative
B5M9J98CW,JURYX,AMERICAN FUNDS,AMERICAN FUNDS Growth Fund A,FSCAPBLFOC,capital group,US Fund Large Growth,US Fund Large Growth,N,N,Y,Y,Commodities
UVY8N1UTO,QGCTX,INVESCO,INVESCO Allocation Fund S,FSINV12SDD,Invesco,US Fund Tactical Allocation,US Fund Tactical Allocation,N,Y,Y,Y,Allocation
6RE4Q6QDY,VIJBX,T ROWE PRICE,T ROWE PRICE Blend Fund A,FSUSA99GZA,T. Rowe Price,US Fund Small Blend,US Fund Small Blend,Y,N,Y,Y,International Equity
E2ATN2TWD,IZSNX,FRANKLIN TEMPLETON,FRANKLIN TEMPLETON Bond Fund INST,FSC7967512,Franklin Templeton,US Fund Short-Term Bond,US Fund Short-Term Bond,Y,Y,N,Y,Allocation
E3TV1ES53,NHEYX,BLACKROCK,BLACKROCK Blend Fund INST,FSUSA4B2GI,BlackRock,US Fund Foreign Large Blend,US Fund Foreign Large Blend,N,N,N,Y,Allocation
KTSG7FXZV,VOVAX,CAPITAL GROUP,CAPITAL GROUP Bond Fund INST,FSCAPU9MJ4,capital group,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond,N,Y,Y,Y,US Equity
WK8R2YKCC,LMFPX,DWS FUNDS,DWS FUNDS Bond Fund INST,FSCAPNRENH,DWS,US Fund High Yield Bond,US Fund High Yield Bond,N,Y,Y,Y,Alternative
QJIDKNWI5,EIPIX,JPMORGAN,JPMORGAN Allocation Fund INST,FSCAPZ4DKB,JPMorgan,US Fund Tactical Allocation,US Fund Tactical Allocation,N,Y,N,Y,Fixed Income
8HMBR5XQT,WLWSX,BLACKROCK,BLACKROCK Value Fund C,FSINVHB0YI,BlackRock,US Fund Large Value,US Fund Large Value,Y,N,N,Y,Allocation
QT3WVEDN9,OJDPX,BLACKROCK,BLACKROCK Blend Fund A,FSINV1KDAD,BlackRock,US Fund Foreign Large Blend,US Fund Foreign Large Blend,Y,Y,N,Y,Allocation
SLWF90KM3,NSHVX,FIDELITY,FIDELITY Blend Fund A,FSUSA4BHGL,Fidelity,US Fund Small Blend,US Fund Small Blend,N,N,Y,Y,Fixed Income
92N9BO0AK,EFWLX,FIDELITY,FIDELITY Allocation Fund A,FSCAP3N1PT,Fidelity,US Fund Moderate Allocation,US Fund Moderate Allocation,N,Y,Y,Y,Allocation
5WW4YYMOE,NYNSX,PIMCO,PIMCO Growth Fund INST,FSUSAD3C5P,PIMCO,US Fund Large Growth,US Fund Large Growth,N,N,N,N,Fixed Income
L8DJ0EK3L,JHKFX,NUVEEN,NUVEEN Blend Fund S,FSUSAEQV3Y,Nuveen,US Fund Small Blend,US Fund Small Blend,N,N,Y,Y,Allocation
U7YOL6LBM,TAGXX,FIRST EAGLE,FIRST EAGLE Bond Fund INST,FSINV2QWV9,First Eagle,US Fund High Yield Bond,US Fund High Yield Bond,N,Y,Y,Y,Fixed Income
5EYQT4XS3,CEYZX,VANGUARD,VANGUARD Estate Fund A,FSINVEWGD7,Vanguard,US Fund Real Estate,US Fund Real Estate,N,Y,Y,Y,International Equity
76KEOC6P3,DHDWX,T ROWE PRICE,T ROWE PRICE Bond Fund A,FSINV91KNU,T. Rowe Price,US Fund Multisector Bond,US Fund Multisector Bond,Y,N,N,Y,Fixed Income
5X7F6TE8C,LZHTX,CAPITAL GROUP,CAPITAL GROUP Bond Fund INST,FSC3690184,capital group,US Fund Short-Term Bond,US Fund Short-Term Bond,N,Y,Y,Y,Allocation
DZWI7PLC1,HGEYX,BLACKROCK,BLACKROCK Growth Fund C,FSCAPE8TXT,BlackRock,US Fund Large Growth,US Fund Large Growth,N,N,N,Y,Commodities
KD5R9X7XK,LXGCX,AMERICAN FUNDS,AMERICAN FUNDS Blend Fund INST,FSCAPKBFSN,capital group,US Fund Foreign Large Blend,US Fund Foreign Large Blend,N,Y,Y,Y,Sector Equity
0BU1IADYW,ZQMVX,VANGUARD,VANGUARD Blend Fund INST,FSUSANJKOB,Vanguard,US Fund Large Blend,US Fund Large Blend,N,Y,Y,Y,Fixed Income
DP1F84C3Z,UIGAX,CAPITAL GROUP,CAPITAL GROUP Allocation Fund A,FSC3666274,capital group,US Fund Moderate Allocation,US Fund Moderate Allocation,N,Y,Y,Y,Sector Equity
QX0MUL27B,JXDBX,LORD ABBETT,LORD ABBETT Allocation Fund C,FSUSAW4BEK,Lord Abbett,US Fund Moderate Allocation,US Fund Moderate Allocation,N,N,Y,Y,International Equity
WGC7DV5BY,SXVUX,PIMCO,PIMCO Blend Fund INST,FSINVE1YQL,PIMCO,US Fund Mid-Cap Blend,US Fund Mid-Cap Blend,N,Y,N,Y,US Equity
2DE83QUV5,DVEGX,INVESCO,INVESCO Growth Fund C,FSUSAIJQNE,Invesco,US Fund Small Growth,US Fund Small Growth,Y,Y,Y,Y,Allocation
476EGQE8D,HEQMX,AMERICAN FUNDS,AMERICAN FUNDS Value Fund A,FSINVHCTP7,capital group,US Fund Large Value,US Fund Large Value,N,Y,N,Y,International Equity
60AJBV6JN,NBSHX,INVESCO,INVESCO Allocation Fund A,FSINV8H9W3,Invesco,US Fund Moderate Allocation,US Fund Moderate Allocation,N,Y,Y,N,Commodities
5X65UM4YR,PZPKX,JPMORGAN,JPMORGAN Blend Fund INV,FSCAPZ4YS8,JPMorgan,US Fund Large Blend,US Fund Large Blend,Y,Y,N,N,Fixed Income
6EFIDXWIH,CMEYX,VANGUARD,VANGUARD Estate Fund A,FSC4315646,Vanguard,US Fund Real Estate,US Fund Real Estate,N,Y,N,Y,Fixed Income
Z5GF0G46U,UNISX,VANGUARD,VANGUARD Blend Fund A,FSCAPEKYTT,Vanguard,US Fund Large Blend,US Fund Large Blend,N,Y,Y,Y,Alternative
9UPSRGI9P,YODQX,BLACKROCK,BLACKROCK Blend Fund A,FSCAP7T3HZ,BlackRock,US Fund Mid-Cap Blend,US Fund Mid-Cap Blend,N,Y,Y,Y,International Equity
VU1IAPKX5,UOCUX,FRANKLIN TEMPLETON,FRANKLIN TEMPLETON Blend Fund S,FSC4360452,Franklin Templeton,US Fund Large Blend,US Fund Large Blend,Y,Y,Y,Y,Alternative
R9A67L7S4,XOCDX,T ROWE PRICE,T ROWE PRICE Blend Fund INST,FSCAPEBDBF,T. Rowe Price,US Fund Large Blend,US Fund Large Blend,N,Y,N,Y,US Equity
KR918S0HC,JUCWX,FRANKLIN TEMPLETON,FRANKLIN TEMPLETON Blend Fund INST,FSC5753819,Franklin Templeton,US Fund Large Blend,US Fund Large Blend,N,N,Y,N,US Equity
XXO1ID2CP,CCZIX,BLACKROCK,BLACKROCK Allocation Fund A,FSUSAG0EOH,BlackRock,US Fund Moderate Allocation,US Fund Moderate Allocation,N,Y,N,Y,Allocation
9A8RWHO3U,WXHXX,MFS,MFS Allocation Fund A,FSC4782046,MFS,US Fund Moderate Allocation,US Fund Moderate Allocation,N,Y,Y,Y,Allocation
JRF57CPLE,RASFX,FRANKLIN TEMPLETON,FRANKLIN TEMPLETON Value Fund A,FSC8384614,Franklin Templeton,US Fund Large Value,US Fund Large Value,N,Y,N,N,Sector Equity
BMTXV4L9L,XNOTX,BLACKROCK,BLACKROCK Blend Fund S,FSUSA4TZWQ,BlackRock,US Fund Mid-Cap Blend,US Fund Mid-Cap Blend,N,N,N,Y,Fixed Income
ZTC0J9BLB,YJCXX,BLACKROCK,BLACKROCK Allocation Fund C,FSCAP9FYGZ,BlackRock,US Fund Tactical Allocation,US Fund Tactical Allocation,N,N,N,Y,Commodities
0X2VVI7AI,GQHAX,JPMORGAN,JPMORGAN Growth Fund INST,FSINVHZ0S1,JPMorgan,US Fund Small Growth,US Fund Small Growth,N,N,Y,Y,US Equity
8MSABBKAZ,GJQKX,MFS,MFS Bond Fund C,FSINVM029S,MFS,US Fund High Yield Bond,US Fund High Yield Bond,N,N,Y,Y,US Equity
V4OEPC8TZ,PTCNX,BLACKROCK,BLACKROCK Allocation Fund A,FSINVCD0ZJ,BlackRock,US Fund Moderate Allocation,US Fund Moderate Allocation,N,Y,N,Y,Allocation
UVLD7P441,GQRMX,INVESCO,INVESCO Bond Fund INST,FSINVCODK4,Invesco,US Fund High Yield Bond,US Fund High Yield Bond,N,Y,Y,Y,Sector Equity
8I3ZEQQFL,JKGHX,BLACKROCK,BLACKROCK Blend Fund INST,FSINVVTT31,BlackRock,US Fund Mid-Cap Blend,US Fund Mid-Cap Blend,N,N,Y,Y,Alternative
L7TG6CD2I,LDYRX,FIDELITY,FIDELITY Bond Fund C,FSCAPRNLR9,Fidelity,US Fund Multisector Bond,US Fund Multisector Bond,N,N,Y,Y,Fixed Income
KT79AAXN4,WGKWX,PIMCO,PIMCO Estate Fund C,FSC7479089,PIMCO,US Fund Real Estate,US Fund Real Estate,N,Y,Y,Y,US Equity
RIOW2PJU7,LBGWX,BLACKROCK,BLACKROCK Bond Fund A,FSCAPKUIKN,BlackRock,US Fund Multisector Bond,US Fund Multisector Bond,Y,Y,N,N,Sector Equity
3PYOCVVV6,EVDOX,JPMORGAN,JPMORGAN Growth Fund S,FSINV44JGF,JPMorgan,US Fund Large Growth,US Fund Large Growth,N,Y,Y,Y,Fixed Income
M1QUANX0H,XPRZX,VANGUARD,VANGUARD Bond Fund A,FSINVFKUUJ,Vanguard,US Fund Multisector Bond,US Fund Multisector Bond,N,Y,Y,Y,Allocation
B24Q7EN8A,CJHQX,T ROWE PRICE,T ROWE PRICE Blend Fund INST,FSCAPSHHT3,T. Rowe Price,US Fund Large Blend,US Fund Large Blend,N,Y,N,Y,Alternative
J67TM0ZXO,VTKGX,DWS FUNDS,DWS FUNDS Bond Fund INST,FSCAPGBDZ7,DWS,US Fund High Yield Bond,US Fund High Yield Bond,N,Y,Y,Y,Fixed Income
YF7QTZ1RU,RWMYX,JPMORGAN,JPMORGAN Growth Fund A,FSC0939897,JPMorgan,US Fund Small Growth,US Fund Small Growth,N,Y,Y,Y,International Equity
T2GQYLTX1,ZUHRX,FRANKLIN TEMPLETON,FRANKLIN TEMPLETON Bond Fund INV,FSC7644298,Franklin Templeton,US Fund Multisector Bond,US Fund Multisector Bond,N,Y,Y,Y,Allocation
YJKD9UCEG,RPAVX,DWS FUNDS,DWS FUNDS Blend Fund INV,FSINVSF8HS,DWS,US Fund Large Blend,US Fund Large Blend,Y,Y,Y,Y,International Equity
SHRBSH103,PDYMX,T ROWE PRICE,T ROWE PRICE Estate Fund A,FSC3063654,T. Rowe Price,US Fund Real Estate,US Fund Real Estate,N,Y,Y,Y,Allocation
TDNUMVEXG,WKGGX,CAPITAL GROUP,CAPITAL GROUP Value Fund INST,FSINVKPRAA,capital group,US Fund Large Value,US Fund Large Value,N,Y,Y,Y,Fixed Income
DCF33U699,PKLLX,AMERICAN FUNDS,AMERICAN FUNDS Blend Fund A,FSINVZW9WL,capital group,US Fund Small Blend,US Fund Small Blend,N,Y,Y,Y,Allocation
Y5KFSNRRL,OUBGX,LORD ABBETT,LORD ABBETT Bond Fund A,FSCAPTK7HV,Lord Abbett,US Fund Short-Term Bond,US Fund Short-Term Bond,N,N,Y,Y,Alternative
3OM8LHPWF,WRHUX,NUVEEN,NUVEEN Growth Fund A,FSINVH4SZK,Nuveen,US Fund Small Growth,US Fund Small Growth,N,Y,Y,Y,International Equity
XUJV248PS,MMNXX,FRANKLIN TEMPLETON,FRANKLIN TEMPLETON Allocation Fund INST,FSC3547525,Franklin Templeton,US Fund Moderate Allocation,US Fund Moderate Allocation,N,N,N,Y,US Equity
8NG0DLHXB,AACXX,AMERICAN FUNDS,AMERICAN FUNDS Blend Fund A,FSINVDVSLV,capital group,US Fund Large Blend,US Fund Large Blend,Y,N,N,N,International Equity
C7PP7KO2L,CFFBX,T ROWE PRICE,T ROWE PRICE Estate Fund A,FSUSA4RAS8,T. Rowe Price,US Fund Real Estate,US Fund Real Estate,N,Y,N,Y,US Equity
3RY0Z9YJG,XLKAX,AMERICAN FUNDS,AMERICAN FUNDS Blend Fund INST,FSCAPIDF8V,capital group,US Fund Large Blend,US Fund Large Blend,N,Y,N,Y,Allocation
H4RWB45D5,HEEVX,T ROWE PRICE,T ROWE PRICE Allocation Fund A,FSUSAPPZZ7,T. Rowe Price,US Fund Moderate Allocation,US Fund Moderate Allocation,N,Y,N,Y,Fixed Income
JYPOGX49J,ISVVX,FRANKLIN TEMPLETON,FRANKLIN TEMPLETON Bond Fund INST,FSC9629423,Franklin Templeton,US Fund Multisector Bond,US Fund Multisector Bond,N,N,Y,Y,US Equity
07ZUL867W,BZMPX,AMERICAN FUNDS,AMERICAN FUNDS Growth Fund INST,FSUSAZ1A1W,capital group,US Fund Large Growth,US Fund Large Growth,N,N,Y,Y,Sector Equity
BL64LFQAJ,EKGBX,CAPITAL GROUP,CAPITAL GROUP Estate Fund INST,FSCAPSZHHF,capital group,US Fund Real Estate,US Fund Real Estate,N,N,Y,Y,Commodities
DSRR2KU2N,JOYOX,LORD ABBETT,LORD ABBETT Bond Fund INST,FSINVRSRC9,Lord Abbett,US Fund Short-Term Bond,US Fund Short-Term Bond,N,Y,Y,Y,US Equity
4LBJK66KE,ZGDKX,VANGUARD,VANGUARD Estate Fund INST,FSCAPW16HJ,Vanguard,US Fund Real Estate,US Fund Real Estate,N,Y,Y,Y,US Equity
YX95OJW9B,DBSRX,BLACKROCK,BLACKROCK Bond Fund A,FSUSAPU2T8,BlackRock,US Fund High Yield Bond,US Fund High Yield Bond,N,Y,Y,Y,Fixed Income
PCJPUF7VX,MKCBX,AMERICAN FUNDS,AMERICAN FUNDS Bond Fund A,FSUSAGDJF0,capital group,US Fund Short-Term Bond,US Fund Short-Term Bond,N,Y,Y,Y,International Equity
5M8ZTA66T,EHJLX,PIMCO,PIMCO Growth Fund INST,FSUSAB1H0O,PIMCO,US Fund Large Growth,US Fund Large Growth,Y,Y,N,N,Alternative
02G1K5JAW,UCEYX,AMERICAN FUNDS,AMERICAN FUNDS Blend Fund S,FSINVH1F43,capital group,US Fund Small Blend,US Fund Small Blend,N,Y,Y,Y,US Equity
UG1MVJKQ5,KTNWX,MFS,MFS Bond Fund S,FSC1949705,MFS,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond,N,Y,N,Y,Fixed Income
TFRX245GB,QSLFX,DWS FUNDS,DWS FUNDS Growth Fund A,FSC3415478,DWS,US Fund Large Growth,US Fund Large Growth,N,N,N,Y,US Equity
