CUSIP,Ticker,Allowable_List,Rec,ACL,Fund_Legal_Name,Fund_ID,Branding_Name,US_Category_Group,Global_Broad_Category_Group,Morningstar_Category,Share_Class,Inception_Date,Net_Assets_Date,Net_Assets_M,Net_Assets_Currency,Management_Fee,Prospectus_12b1,Shareholder_Fee,Is_SMA_or_529,Is_Master_List_Fund,Real_Share_Class
CJ2MG2BBC,GPHX,Y,Y,Y,Virtus High Yield Bond Fund I,FSUSAGBKK7,Virtus,Fixed Income,Taxable Bond,US Fund High Yield Bond,I,09/08/1998,03/31/2026,61697.46,USD,0.2255,0.0,0.0356,Y,Y,Y
86JFCAHMJ,WTMX,Y,N,Y,Allspring High Yield Bond Fund A,FSUSA8XQYC,Allspring,Fixed Income,Taxable Bond,US Fund High Yield Bond,A,09/03/1999,03/31/2026,47481.74,USD,0.5134,0.25,0.1612,N,N,Y
5XJRRA1CP,LYHX,N,Y,Y,Columbia Threadneedle Diversified Emerging Mkts Fund A,FSUSA1K16Z,Columbia Threadneedle,International Equity,International Equity,US Fund Diversified Emerging Mkts,A,10/01/1989,03/31/2026,84691.83,USD,0.7655,0.25,0.2179,N,Y,Y
AVX5G6YVA,LYGX,Y,Y,Y,Natixis Diversified Emerging Mkts Fund A,FSUSA3HY9A,Natixis,International Equity,International Equity,US Fund Diversified Emerging Mkts,A,08/27/2016,03/31/2026,71230.07,USD,1.0008,0.25,0.2496,N,Y,Y
010BWCSEK,GGEX,Y,Y,Y,New York Life Foreign Large Growth Fund R,FSUSAS45T4,New York Life,International Equity,International Equity,US Fund Foreign Large Growth,R,04/26/1995,03/31/2026,24110.35,USD,0.3094,0.25,0.2005,N,N,Y
P2ADRCG72,PRCX,Y,Y,N,Natixis Mid-Cap Growth Fund Inst,FSUSALD00F,Natixis,U.S. Equity,U.S. Equity,US Fund Mid-Cap Growth,Inst,01/08/2000,03/31/2026,9526.98,USD,0.1277,0.5,0.0744,N,Y,Y
ZUYHH3TQS,HAQX,Y,N,Y,Franklin Templeton Large Growth Fund Inst,FSUSAFMGT3,Franklin Templeton,U.S. Equity,U.S. Equity,US Fund Large Growth,Inst,03/21/2015,03/31/2026,13031.98,USD,0.5797,0.0,0.0799,N,N,Y
MGFFDP5UN,JBSX,Y,N,N,Principal Large Growth Fund Inst,FSUSAX7J79,Principal,U.S. Equity,U.S. Equity,US Fund Large Growth,Inst,07/29/1990,03/31/2026,78124.21,USD,0.5045,0.0,0.0592,N,N,Y
Y28UUEPUK,FRMX,Y,Y,N,Franklin Templeton Mid-Cap Blend Fund Investor,FSUSAQP4M6,Franklin Templeton,U.S. Equity,U.S. Equity,US Fund Mid-Cap Blend,Investor,07/11/2020,03/31/2026,25664.23,USD,0.9574,1.0,0.0317,Y,N,Y
H0AGTRXA0,WVLX,Y,Y,Y,JPMorgan Large Value Fund A,FSUSAWFXGE,JPMorgan,U.S. Equity,U.S. Equity,US Fund Large Value,A,07/13/1998,03/31/2026,70926.16,USD,0.1229,0.5,0.204,N,Y,Y
ZF72VN4Y8,TGQX,Y,N,N,Franklin Templeton Mid-Cap Blend Fund Inst,FSUSAJTSC0,Franklin Templeton,U.S. Equity,U.S. Equity,US Fund Mid-Cap Blend,Inst,03/21/1996,03/31/2026,40777.08,USD,0.7124,0.5,0.0076,N,Y,Y
PP6NFFRK4,BKSX,Y,Y,Y,Invesco Mid-Cap Blend Fund A,FSUSAX0GVZ,Invesco,U.S. Equity,U.S. Equity,US Fund Mid-Cap Blend,A,11/06/2015,03/31/2026,13076.95,USD,1.1528,0.0,0.0294,N,N,Y
13P908HCC,JAEX,Y,N,Y,Allspring Foreign Large Blend Fund Investor,FSUSABXN0J,Allspring,International Equity,International Equity,US Fund Foreign Large Blend,Investor,04/25/1999,03/31/2026,47296.32,USD,0.8007,0.25,0.161,N,Y,Y
RRTWLRRDB,LYVX,Y,Y,Y,Franklin Templeton Small Growth Fund Investor,FSUSA7YGMA,Franklin Templeton,U.S. Equity,U.S. Equity,US Fund Small Growth,Investor,07/29/2009,03/31/2026,61987.35,USD,0.239,0.5,0.2332,N,Y,Y
2JM982BHW,VJXX,N,N,Y,First Eagle Short-Term Bond Fund Investor,FSUSAHTARS,First Eagle,Fixed Income,Taxable Bond,US Fund Short-Term Bond,Investor,11/05/1986,03/31/2026,20768.29,USD,0.1191,0.25,0.0419,N,N,Y
ZMLXYAAUD,SYAX,N,N,N,Harbor Small Blend Fund A,FSUSAD7807,Harbor,U.S. Equity,U.S. Equity,US Fund Small Blend,A,05/09/1999,03/31/2026,31708.38,USD,0.5019,0.0,0.0674,N,Y,Y
YCCGM595B,WHKX,N,Y,Y,New York Life Tactical Allocation Fund A,FSUSAEJVFY,New York Life,Allocation,Allocation,US Fund Tactical Allocation,A,03/04/2020,03/31/2026,42323.66,USD,0.9726,0.0,0.1775,N,N,Y
NJLJJQDW3,DQZX,Y,N,Y,Fidelity Short-Term Bond Fund A,FSUSAFXZLP,Fidelity,Fixed Income,Taxable Bond,US Fund Short-Term Bond,A,08/06/1997,03/31/2026,66025.79,USD,0.3361,0.25,0.1274,Y,N,Y
MR1DZBBG5,BAWX,Y,Y,Y,JPMorgan Muni National Long Fund A,FSUSAQCFJE,JPMorgan,Municipal Bond,Municipal Bond,US Fund Muni National Long,A,12/19/2004,03/31/2026,22914.37,USD,1.0614,0.0,0.0937,N,Y,N
YLBHGTLYW,MCUX,Y,Y,N,Russell Investments Intermediate Core Bond Fund Inst,FSUSAD5QHB,Russell Investments,Fixed Income,Taxable Bond,US Fund Intermediate Core Bond,Inst,11/17/1996,03/31/2026,17188.99,USD,0.2884,0.25,0.0194,N,Y,Y
X19TE29U7,DWRX,Y,Y,Y,BNY Mellon Nontraditional Bond Fund Inst,FSUSA112WD,BNY Mellon,Fixed Income,Taxable Bond,US Fund Nontraditional Bond,Inst,04/08/2011,03/31/2026,14608.92,USD,0.3591,1.0,0.0313,N,Y,Y
11N8XSVRF,QTMX,Y,Y,Y,Fidelity Large Value Fund Inst,FSUSANJYKW,Fidelity,U.S. Equity,U.S. Equity,US Fund Large Value,Inst,10/05/1992,03/31/2026,48666.65,USD,0.6234,0.25,0.1148,N,Y,N
1XKDPTVGN,LRYX,Y,Y,N,Capital Group Foreign Large Value Fund Retirement,FSUSAFATSW,Capital Group,International Equity,International Equity,US Fund Foreign Large Value,Retirement,02/18/1985,03/31/2026,33940.52,USD,0.7426,0.25,0.1216,N,Y,Y
2106HHSBH,ECKX,N,Y,Y,PIMCO Commodities Broad Basket Fund Investor,FSUSA3RJ4B,PIMCO,Commodities,Commodities,US Fund Commodities Broad Basket,Investor,05/19/1998,03/31/2026,45316.92,USD,0.8582,0.0,0.1423,N,Y,Y
JKGV0V6W0,JKBX,Y,Y,Y,Touchstone Investments Large Value Fund A,FSUSAR1ERJ,Touchstone Investments,U.S. Equity,U.S. Equity,US Fund Large Value,A,11/02/2004,03/31/2026,43785.25,USD,0.3352,0.25,0.1335,N,Y,Y
HJYFYLY6Y,KKVX,Y,Y,Y,Virtus Small Growth Fund A,FSUSAZVVS1,Virtus,U.S. Equity,U.S. Equity,US Fund Small Growth,A,02/03/1997,03/31/2026,63462.49,USD,0.1111,0.0,0.0803,N,N,N
9VB61TKB3,ASPX,Y,Y,Y,BlackRock Large Blend Fund A,FSUSABG57N,BlackRock,U.S. Equity,U.S. Equity,US Fund Large Blend,A,12/01/1988,03/31/2026,48411.98,USD,0.7494,0.0,0.0504,N,Y,Y
W1XE1FHH6,ELWX,Y,Y,N,Lord Abbett Muni National Interm Fund Investor,FSUSA0XAKR,Lord Abbett,Municipal Bond,Municipal Bond,US Fund Muni National Interm,Investor,05/14/1987,03/31/2026,26428.68,USD,0.6678,1.0,0.2324,N,Y,Y
T26N6NH0M,JASX,Y,Y,Y,Guggenheim Real Estate Fund A,FSUSA0WEDB,Guggenheim,Sector Equity,Sector Equity,US Fund Real Estate,A,06/03/1987,03/31/2026,24609.24,USD,0.3834,0.5,0.0612,N,Y,Y
E8ZMT6QH4,GZMX,Y,Y,Y,Federated Hermes Foreign Large Blend Fund A,FSUSAWSGXU,Federated Hermes,International Equity,International Equity,US Fund Foreign Large Blend,A,04/06/1995,03/31/2026,53515.57,USD,0.7613,0.0,0.0099,N,N,Y
WL25AWMJJ,YJWX,Y,N,Y,BNY Mellon Intermediate Core Bond Fund A,FSUSALDEBM,BNY Mellon,Fixed Income,Taxable Bond,US Fund Intermediate Core Bond,A,03/18/2011,03/31/2026,15479.63,USD,0.884,1.0,0.0524,Y,Y,Y
Q1V6H4MB0,FPCX,Y,Y,Y,First Eagle Tactical Allocation Fund A,FSUSACZB4P,First Eagle,Allocation,Allocation,US Fund Tactical Allocation,A,04/17/2003,03/31/2026,50623.88,USD,1.0817,0.0,0.2217,N,N,Y
HSXEH0V58,GHHX,Y,Y,N,Baird Diversified Emerging Mkts Fund Inst,FSUSAQL5NJ,Baird,International Equity,International Equity,US Fund Diversified Emerging Mkts,Inst,06/29/1990,03/31/2026,36421.46,USD,0.7432,0.5,0.2169,N,Y,Y
4HDLTWJJ9,EERX,Y,Y,Y,Baird Global Moderate Allocation Fund I,FSUSAVPDR6,Baird,Allocation,Allocation,US Fund Global Moderate Allocation,I,06/20/2000,03/31/2026,12421.13,USD,0.6859,1.0,0.0539,Y,Y,Y
XP55GKKUV,VDVX,Y,Y,N,T. Rowe Price Intermediate Core-Plus Bond Fund I,FSUSAXMA45,T. Rowe Price,Fixed Income,Taxable Bond,US Fund Intermediate Core-Plus Bond,I,03/05/2002,03/31/2026,36858.35,USD,0.4831,0.0,0.1202,N,Y,Y
F5L3RPA7B,HKNX,Y,N,Y,Lord Abbett Global Moderate Allocation Fund Inst,FSUSA9VBNL,Lord Abbett,Allocation,Allocation,US Fund Global Moderate Allocation,Inst,11/24/1990,03/31/2026,12394.52,USD,0.9678,0.25,0.0532,N,N,Y
CH6XY15EJ,ZLQX,Y,N,N,Nuveen Large Growth Fund C,FSUSAAMYNW,Nuveen,U.S. Equity,U.S. Equity,US Fund Large Growth,C,07/20/1992,03/31/2026,46474.95,USD,0.6021,0.0,0.0981,N,Y,N
LVPB7W3Z4,HEJX,Y,Y,Y,Russell Investments Small Blend Fund A,FSUSAXXW7F,Russell Investments,U.S. Equity,U.S. Equity,US Fund Small Blend,A,12/10/1993,03/31/2026,8633.58,USD,0.8609,0.0,0.0684,N,Y,Y
MPZFNPDKT,GTSX,Y,N,Y,MFS High Yield Muni Fund C,FSUSATZJPA,MFS,Municipal Bond,Municipal Bond,US Fund High Yield Muni,C,10/21/2003,03/31/2026,51085.59,USD,0.7653,0.25,0.1269,N,N,Y
A60JGH21Q,JLVX,Y,Y,Y,Nuveen Large Growth Fund I,FSUSA80GMX,Nuveen,U.S. Equity,U.S. Equity,US Fund Large Growth,I,01/06/1986,03/31/2026,58592.31,USD,1.1002,0.5,0.0335,N,N,Y
XA35JJ3RG,YWEX,Y,Y,Y,Dodge & Cox Nontraditional Bond Fund A,FSUSARD0UQ,Dodge & Cox,Fixed Income,Taxable Bond,US Fund Nontraditional Bond,A,07/07/1999,03/31/2026,31650.97,USD,0.6003,0.0,0.0429,N,Y,Y
4CC0WLL8X,AGQX,Y,Y,Y,Virtus High Yield Bond Fund A,FSUSA56MFJ,Virtus,Fixed Income,Taxable Bond,US Fund High Yield Bond,A,08/12/2010,03/31/2026,56341.04,USD,0.2809,0.25,0.1176,N,Y,Y
R0V08YA9P,LFLX,Y,N,Y,John Hancock Foreign Large Value Fund C,FSUSAPL4NB,John Hancock,International Equity,International Equity,US Fund Foreign Large Value,C,12/11/2002,03/31/2026,1297.21,USD,0.9829,1.0,0.1549,N,Y,Y
MR0F71M5J,XZGX,Y,Y,Y,BNY Mellon Intermediate Core Bond Fund I,FSUSADLMC4,BNY Mellon,Fixed Income,Taxable Bond,US Fund Intermediate Core Bond,I,08/01/2019,03/31/2026,53090.82,USD,0.6001,0.25,0.1527,N,N,Y
JSTW8XUB5,SUQX,N,N,Y,Russell Investments Small Growth Fund A,FSUSALUF0H,Russell Investments,U.S. Equity,U.S. Equity,US Fund Small Growth,A,07/08/2007,03/31/2026,22349.23,USD,1.0126,1.0,0.0078,N,Y,Y
UMPSL3R3S,ANZX,Y,Y,Y,Dodge & Cox Large Value Fund C,FSUSAJY4GU,Dodge & Cox,U.S. Equity,U.S. Equity,US Fund Large Value,C,11/01/2012,03/31/2026,81737.07,USD,1.0554,0.25,0.2463,N,Y,Y
MQ0GA8D4G,RAFX,Y,Y,Y,John Hancock Foreign Large Value Fund Inst,FSUSATYNLV,John Hancock,International Equity,International Equity,US Fund Foreign Large Value,Inst,02/04/2014,03/31/2026,55401.81,USD,0.7519,0.25,0.0587,N,Y,Y
J9UZJH5JW,DFPX,N,N,N,Natixis Mid-Cap Blend Fund I,FSUSAQSP8A,Natixis,U.S. Equity,U.S. Equity,US Fund Mid-Cap Blend,I,08/05/2004,03/31/2026,58013.88,USD,0.6613,0.0,0.2226,N,N,Y
RTF53ULWP,NRMX,Y,Y,Y,MFS Tactical Allocation Fund C,FSUSA87Y10,MFS,Allocation,Allocation,US Fund Tactical Allocation,C,06/26/1991,03/31/2026,79898.73,USD,0.2924,0.0,0.1383,N,N,Y
V65ML86GE,HBHX,Y,Y,Y,MFS High Yield Muni Fund A,FSUSAP2PKA,MFS,Municipal Bond,Municipal Bond,US Fund High Yield Muni,A,04/25/1990,03/31/2026,1635.92,USD,0.2952,0.25,0.0923,N,N,Y
R1T50T2VQ,VFQX,Y,Y,Y,Allspring Small Growth Fund A,FSUSANQDRU,Allspring,U.S. Equity,U.S. Equity,US Fund Small Growth,A,10/05/2016,03/31/2026,30050.84,USD,1.0435,0.25,0.1638,N,Y,Y
17X0PDHP5,VDNX,Y,Y,Y,Goldman Sachs Foreign Large Blend Fund A,FSUSA7JXVS,Goldman Sachs,International Equity,International Equity,US Fund Foreign Large Blend,A,08/30/1999,03/31/2026,17976.2,USD,0.3908,0.25,0.1798,Y,N,Y
2V1CYX2ZJ,YBSX,N,Y,Y,MFS Global Moderate Allocation Fund A,FSUSALT7UJ,MFS,Allocation,Allocation,US Fund Global Moderate Allocation,A,01/03/1986,03/31/2026,64803.77,USD,0.1319,0.0,0.2077,N,Y,N
R4UKSL8PJ,GKWX,Y,Y,Y,T. Rowe Price Large Value Fund A,FSUSAWR5C6,T. Rowe Price,U.S. Equity,U.S. Equity,US Fund Large Value,A,01/12/1991,03/31/2026,7659.64,USD,0.6156,0.25,0.1362,N,N,Y
V7MDY1EDN,WJNX,Y,Y,Y,Virtus Tactical Allocation Fund A,FSUSA3VXZ1,Virtus,Allocation,Allocation,US Fund Tactical Allocation,A,05/01/1998,03/31/2026,51168.78,USD,0.5955,0.5,0.2266,N,Y,Y
CPZDH03ZZ,NJJX,Y,Y,Y,Virtus Large Growth Fund Inst,FSUSAP4NNG,Virtus,U.S. Equity,U.S. Equity,US Fund Large Growth,Inst,04/12/2004,03/31/2026,61070.35,USD,1.0626,0.0,0.0433,N,N,Y
5GQD3L46H,EPAX,Y,Y,Y,Fidelity Mid-Cap Growth Fund Inst,FSUSAYKDFD,Fidelity,U.S. Equity,U.S. Equity,US Fund Mid-Cap Growth,Inst,09/27/2010,03/31/2026,78707.53,USD,0.1795,1.0,0.1994,N,Y,Y
NXE866QLY,SRBX,Y,Y,Y,Vanguard Foreign Large Value Fund A,FSUSAG26GS,Vanguard,International Equity,International Equity,US Fund Foreign Large Value,A,08/02/2010,03/31/2026,3509.56,USD,0.4275,0.0,0.2418,N,Y,Y
9JZYQY6C1,YGGX,Y,N,Y,John Hancock Mid-Cap Blend Fund A,FSUSAWKR29,John Hancock,U.S. Equity,U.S. Equity,US Fund Mid-Cap Blend,A,07/12/2019,03/31/2026,1731.24,USD,0.7987,0.25,0.1922,N,Y,Y
01QTZ65RS,RMDX,Y,Y,N,Fidelity Foreign Large Growth Fund Inst,FSUSAG2QPH,Fidelity,International Equity,International Equity,US Fund Foreign Large Growth,Inst,08/01/2004,03/31/2026,20684.61,USD,0.5013,0.25,0.2484,N,Y,Y
XNQAZDTMU,NWAX,Y,N,Y,Lord Abbett Commodities Broad Basket Fund A,FSUSAT9QWY,Lord Abbett,Commodities,Commodities,US Fund Commodities Broad Basket,A,02/22/2017,03/31/2026,53885.91,USD,1.1618,0.25,0.0787,N,Y,Y
0W2NB50A2,TYMX,Y,Y,Y,John Hancock Short-Term Bond Fund R6,FSUSAU8FAN,John Hancock,Fixed Income,Taxable Bond,US Fund Short-Term Bond,R6,12/08/1998,03/31/2026,79529.59,USD,0.5617,0.0,0.2287,N,N,Y
YZUGGJQST,QMUX,Y,N,Y,PIMCO Real Estate Fund Inst,FSUSAGGVW7,PIMCO,Sector Equity,Sector Equity,US Fund Real Estate,Inst,10/30/2002,03/31/2026,74477.28,USD,0.1033,0.25,0.0494,N,Y,Y
VEJ555M4P,UHGX,Y,N,Y,Hartford Funds Mid-Cap Blend Fund A,FSUSAUXLJ3,Hartford Funds,U.S. Equity,U.S. Equity,US Fund Mid-Cap Blend,A,12/11/1999,03/31/2026,84010.44,USD,0.5904,0.5,0.0941,N,Y,Y
L61VKYEDJ,MJNX,Y,N,N,AllianceBernstein Diversified Emerging Mkts Fund C,FSUSA2VP1Q,AllianceBernstein,International Equity,International Equity,US Fund Diversified Emerging Mkts,C,01/09/1985,03/31/2026,41624.97,USD,0.3599,0.5,0.2282,N,Y,Y
42VY8V56Y,UEFX,Y,N,N,Lord Abbett Diversified Emerging Mkts Fund A,FSUSAV7GZQ,Lord Abbett,International Equity,International Equity,US Fund Diversified Emerging Mkts,A,08/16/2015,03/31/2026,36088.07,USD,0.2009,1.0,0.0185,Y,Y,Y
5DD22CZF7,KUCX,Y,N,Y,Goldman Sachs Foreign Large Growth Fund Retirement,FSUSAZP3SF,Goldman Sachs,International Equity,International Equity,US Fund Foreign Large Growth,Retirement,12/22/1997,03/31/2026,43922.14,USD,0.6703,0.25,0.1235,N,Y,Y
RXU2S6TGE,HTBX,Y,Y,N,JPMorgan High Yield Bond Fund Inst,FSUSADHAWV,JPMorgan,Fixed Income,Taxable Bond,US Fund High Yield Bond,Inst,07/06/1991,03/31/2026,43541.9,USD,0.6937,0.0,0.0835,N,Y,Y
Y8R8LKT76,AVUX,N,Y,Y,Eaton Vance Large Blend Fund Retirement,FSUSAK6EMU,Eaton Vance,U.S. Equity,U.S. Equity,US Fund Large Blend,Retirement,11/18/1993,03/31/2026,65685.94,USD,0.9666,0.5,0.142,N,N,Y
XTMFFWWQD,KPTX,N,Y,Y,Franklin Templeton Large Value Fund Inst,FSUSATWV6V,Franklin Templeton,U.S. Equity,U.S. Equity,US Fund Large Value,Inst,11/04/1987,03/31/2026,33276.47,USD,1.0102,0.5,0.1943,N,Y,Y
FKZPT4ATM,LZHX,Y,N,Y,BlackRock Global Moderate Allocation Fund A,FSUSA37009,BlackRock,Allocation,Allocation,US Fund Global Moderate Allocation,A,04/13/1987,03/31/2026,75323.1,USD,0.8112,0.25,0.0234,N,N,Y
JB8365QRH,FZKX,N,Y,N,Fidelity Large Value Fund A,FSUSA4PJR3,Fidelity,U.S. Equity,U.S. Equity,US Fund Large Value,A,05/27/2004,03/31/2026,44437.48,USD,0.9751,0.0,0.1642,N,Y,Y
PBGHN1Q36,BTWX,N,Y,Y,Virtus Muni National Long Fund A,FSUSA53SP3,Virtus,Municipal Bond,Municipal Bond,US Fund Muni National Long,A,02/21/2020,03/31/2026,2582.26,USD,0.2483,1.0,0.1426,N,Y,Y
LJDENJTKC,ASKX,Y,Y,Y,Eaton Vance Short-Term Bond Fund A,FSUSAYT9D1,Eaton Vance,Fixed Income,Taxable Bond,US Fund Short-Term Bond,A,09/22/2013,03/31/2026,16887.64,USD,0.2372,0.0,0.1303,N,Y,Y
8W6MPN4RP,GKJX,Y,Y,Y,Allspring Real Estate Fund Inst,FSUSAKWJFY,Allspring,Sector Equity,Sector Equity,US Fund Real Estate,Inst,07/13/2016,03/31/2026,66378.41,USD,0.2167,0.5,0.2457,N,Y,Y
DQQVYNC00,EDMX,N,Y,Y,MFS Real Estate Fund A,FSUSA89QS6,MFS,Sector Equity,Sector Equity,US Fund Real Estate,A,05/12/2017,03/31/2026,50661.84,USD,0.3883,0.0,0.0673,N,N,Y
HP80FBNL0,KHQX,Y,Y,Y,Lord Abbett Global Moderate Allocation Fund Inst,FSUSAK5W9K,Lord Abbett,Allocation,Allocation,US Fund Global Moderate Allocation,Inst,06/09/1993,03/31/2026,33911.96,USD,1.1992,0.0,0.2439,N,N,Y
DDDFJV6S2,JTRX,Y,Y,Y,New York Life Foreign Large Growth Fund C,FSUSA2TZLV,New York Life,International Equity,International Equity,US Fund Foreign Large Growth,C,08/25/1996,03/31/2026,49706.91,USD,0.411,0.5,0.0662,N,Y,Y
VGR4TMBPX,EAYX,Y,N,Y,New York Life Intermediate Core Bond Fund I,FSUSAN96EZ,New York Life,Fixed Income,Taxable Bond,US Fund Intermediate Core Bond,I,03/21/2005,03/31/2026,40841.6,USD,0.856,0.0,0.1981,N,Y,Y
RRQADY1WX,GFTX,N,Y,N,John Hancock Commodities Broad Basket Fund Retirement,FSUSAGA7JH,John Hancock,Commodities,Commodities,US Fund Commodities Broad Basket,Retirement,10/11/2011,03/31/2026,77193.31,USD,0.9369,0.0,0.1367,N,Y,Y
XKY9J73G3,HUTX,Y,Y,Y,First Eagle Foreign Large Blend Fund Inst,FSUSAFYAWU,First Eagle,International Equity,International Equity,US Fund Foreign Large Blend,Inst,01/02/1992,03/31/2026,25815.31,USD,0.3937,0.25,0.0189,N,Y,Y
Y5HK2TNJ1,BGVX,N,Y,Y,Invesco Tactical Allocation Fund Inst,FSUSA03LJ4,Invesco,Allocation,Allocation,US Fund Tactical Allocation,Inst,12/26/1995,03/31/2026,5132.98,USD,1.1553,0.5,0.1269,N,Y,N
47V19RS9F,LBAX,Y,Y,Y,Harbor Moderate Allocation Fund R6,FSUSAR18EM,Harbor,Allocation,Allocation,US Fund Moderate Allocation,R6,12/24/2011,03/31/2026,18789.47,USD,0.7854,0.0,0.0714,N,Y,Y
5SFY9FKJH,JSNX,Y,N,N,Russell Investments Large Blend Fund A,FSUSAA2XSV,Russell Investments,U.S. Equity,U.S. Equity,US Fund Large Blend,A,06/14/2019,03/31/2026,78964.82,USD,1.0534,1.0,0.0949,N,N,Y
8LGWZSSK6,AQVX,Y,N,Y,Columbia Threadneedle Commodities Broad Basket Fund Inst,FSUSANSCCR,Columbia Threadneedle,Commodities,Commodities,US Fund Commodities Broad Basket,Inst,08/15/1988,03/31/2026,78445.02,USD,0.5452,0.0,0.0473,N,Y,Y
5NLUVMPSB,JPNX,N,Y,Y,Harbor Nontraditional Bond Fund Inst,FSUSA60XEN,Harbor,Fixed Income,Taxable Bond,US Fund Nontraditional Bond,Inst,09/08/2002,03/31/2026,73509.72,USD,0.6191,0.0,0.1809,N,Y,Y
LP1V1U49V,MMMX,Y,Y,N,Fidelity Commodities Broad Basket Fund C,FSUSANACZ3,Fidelity,Commodities,Commodities,US Fund Commodities Broad Basket,C,05/06/1992,03/31/2026,18107.78,USD,1.1559,0.5,0.1625,N,N,Y
PU2JAJ51J,VMNX,Y,N,Y,Franklin Templeton Foreign Large Blend Fund R6,FSUSAEP47N,Franklin Templeton,International Equity,International Equity,US Fund Foreign Large Blend,R6,05/07/2004,03/31/2026,8538.42,USD,0.3977,0.0,0.0045,Y,N,Y
AER0HNF6A,DVSX,Y,N,Y,Goldman Sachs Muni National Interm Fund A,FSUSA4ZF8X,Goldman Sachs,Municipal Bond,Municipal Bond,US Fund Muni National Interm,A,01/17/1998,03/31/2026,73103.12,USD,0.5953,0.0,0.1254,Y,N,Y
JYJ5PFM7X,FAXX,N,Y,Y,Nuveen Nontraditional Bond Fund A,FSUSA67G00,Nuveen,Fixed Income,Taxable Bond,US Fund Nontraditional Bond,A,02/18/1995,03/31/2026,17322.23,USD,1.0555,0.25,0.0103,N,Y,Y
99DTHGTHS,RJGX,Y,Y,N,Victory Capital Commodities Broad Basket Fund I,FSUSA7XSY7,Victory Capital,Commodities,Commodities,US Fund Commodities Broad Basket,I,07/08/2017,03/31/2026,51260.77,USD,0.3804,1.0,0.1027,N,Y,Y
