EOM_DT,CUSIP,SEC_SYM,MF_FAM_DESC,MF_NM,MF_CLASS,EXISTS_ON_MSTA,CHANNEL,ACCT_TYP,PROGRAM,LEGACY_PROGRAM,RTMT_ACCT_TYP,TRADE_SIDE,EXCHANGE_IND,GROSS_AMOUNT,NET_ORIG_AMOUNT,NET_AMOUNT,TRD_CNT,Is_it_a_MF,Rec,ACL,Fund_ID,Brand,Mstar_Cat,US_cat
2026-03-31,UVY8N1UTO,QGCTX,INVESCO,INVESCO Allocation Fund S,S,Y,WBS,ADVISORY,ADVISORY,ASSET ADVISOR,NON-RETIREMENT,P,Y,2863722.02,2863722.02,2863722.02,32,Y,Y,N,FSINV12SDD,Invesco,US Fund Tactical Allocation,US Fund Tactical Allocation
2025-03-31,6Q3XLRFCD,XISNX,VANGUARD,VANGUARD Allocation Fund INV,INV,Y,WFAS,ADVISORY,ADVISORY,BROKERAGE,SIM,P,Y,2284263.98,2284263.98,2284263.98,1,Y,Y,Y,FSUSAMIGJS,Vanguard,US Fund Tactical Allocation,US Fund Tactical Allocation
2025-12-31,YYO4UDOJE,JTGJX,BLACKROCK,BLACKROCK Bond Fund INST,INST,Y,FCCS,ADVISORY,ADVISORY,BROKERAGE,SEP,P,N,4970621.24,4970621.24,4970621.24,50,Y,Y,Y,FSCAPSG2R8,BlackRock,US Fund Short-Term Bond,US Fund Short-Term Bond
2025-06-30,WYJXRPJ1E,LHRMX,INVESCO,INVESCO Bond Fund A,A,Y,PCG,BROKERAGE,BROKERAGE,CUSTOMCHOICE,SEP,S,N,1912706.85,-1912706.85,-1912706.85,35,Y,Y,N,FSCAPRK315,Invesco,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond
2026-01-31,VBDIVUZZP,LHWTX,VANGUARD,VANGUARD Growth Fund A,A,Y,WBS,ADVISORY,ADVISORY,FUNDSOURCE,NON-RETIREMENT,P,N,1492165.76,1492165.76,1492165.76,10,Y,N,Y,FSCAP853QJ,Vanguard,US Fund Large Growth,US Fund Large Growth
2025-01-31,6246HID25,KQEYX,FIRST EAGLE,FIRST EAGLE Growth Fund INST,INST,Y,PCG,BROKERAGE,BROKERAGE,FUNDSOURCE,IRA,S,N,2096493.37,-2096493.37,-2096493.37,3,Y,Y,N,FSUSAUK54B,First Eagle,US Fund Small Growth,US Fund Small Growth
2025-12-31,C8D1WJCIT,EKRMX,FRANKLIN TEMPLETON,FRANKLIN TEMPLETON Estate Fund C,C,N,WFAS,BROKERAGE,BROKERAGE,CUSTOMCHOICE,QP,P,N,2195094.58,2195094.58,2195094.58,15,Y,N,Y,FSC7392545,Franklin Templeton,US Fund Real Estate,US Fund Real Estate
2026-01-31,QJIDKNWI5,EIPIX,JPMORGAN,JPMORGAN Allocation Fund INST,INST,Y,FINET,ADVISORY,ADVISORY,FUNDSOURCE,SIM,S,N,1603665.24,-1603665.24,-1603665.24,4,Y,Y,Y,FSCAPZ4DKB,JPMorgan,US Fund Tactical Allocation,US Fund Tactical Allocation
2025-11-30,R7KO64T02,XMHMX,FRANKLIN TEMPLETON,FRANKLIN TEMPLETON Blend Fund C,C,Y,FINET,ADVISORY,ADVISORY,FC/QC,QP,S,Y,2779475.4,-2779475.4,-2779475.4,27,Y,Y,Y,FSC8379085,Franklin Templeton,US Fund Mid-Cap Blend,US Fund Mid-Cap Blend
2025-08-31,8MGYN2JCP,LZEHX,NUVEEN,NUVEEN Estate Fund A,A,Y,WBS,ADVISORY,ADVISORY,BROKERAGE,QP,P,N,1127110.07,1127110.07,1127110.07,27,Y,Y,Y,FSCAP9SFEF,Nuveen,US Fund Real Estate,US Fund Real Estate
2025-06-30,RPN6QFGSX,QXUMX,LORD ABBETT,LORD ABBETT Estate Fund A,A,Y,FINET,ADVISORY,ADVISORY,FUNDSOURCE,IRA,S,N,4611169.41,-4611169.41,-4611169.41,44,Y,Y,Y,FSINVN2N0F,Lord Abbett,US Fund Real Estate,US Fund Real Estate
2025-12-31,WK8R2YKCC,LMFPX,DWS FUNDS,DWS FUNDS Bond Fund INST,INST,N,PCG,BROKERAGE,BROKERAGE,BROKERAGE,NON-RETIREMENT,S,N,1085474.1,-1085474.1,-1085474.1,48,Y,N,Y,FSCAPNRENH,DWS,US Fund High Yield Bond,US Fund High Yield Bond
2025-12-31,C8D1WJCIT,EKRMX,FRANKLIN TEMPLETON,FRANKLIN TEMPLETON Estate Fund C,C,Y,WFAS,ADVISORY,ADVISORY,FC/QC,SIM,S,N,1022963.46,-1022963.46,-1022963.46,23,Y,Y,N,FSC7392545,Franklin Templeton,US Fund Real Estate,US Fund Real Estate
2025-02-28,N1YBWMLUN,GWZPX,INVESCO,INVESCO Blend Fund A,A,Y,PCG,ADVISORY,ADVISORY,PIM,SIM,S,N,3612206.66,-3612206.66,-3612206.66,15,Y,Y,Y,FSINVZILDX,Invesco,US Fund Large Blend,US Fund Large Blend
2025-10-31,KTSG7FXZV,VOVAX,CAPITAL GROUP,CAPITAL GROUP Bond Fund INST,INST,Y,WBS,ADVISORY,ADVISORY,FUNDSOURCE,SIM,S,N,1476313.84,-1476313.84,-1476313.84,44,Y,N,Y,FSCAPU9MJ4,capital group,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond
2025-08-31,QTL3Q4N89,MHJNX,MFS,MFS Blend Fund A,A,Y,WBS,BROKERAGE,BROKERAGE,BROKERAGE,QP,P,N,3974980.08,3974980.08,3974980.08,5,Y,Y,Y,FSCAPO8FAQ,MFS,US Fund Mid-Cap Blend,US Fund Mid-Cap Blend
2025-03-31,17MGFXC08,CNJLX,NUVEEN,NUVEEN Blend Fund INV,INV,Y,WBS,ADVISORY,ADVISORY,PIM,IRA,S,N,1157551.24,-1157551.24,-1157551.24,43,Y,N,Y,FSUSALNO19,Nuveen,US Fund Small Blend,US Fund Small Blend
2025-01-31,4FMYZYCWT,GMHYX,DWS FUNDS,DWS FUNDS Bond Fund A,A,Y,WBS,BROKERAGE,BROKERAGE,MASTERS,IRA,P,Y,2056986.87,2056986.87,2056986.87,45,Y,N,N,FSCAPZUVDG,DWS,US Fund High Yield Bond,US Fund High Yield Bond
2026-03-31,4DPJA1WJ0,OLABX,PIMCO,PIMCO Bond Fund S,S,Y,WFAS,ADVISORY,ADVISORY,MASTERS,SIM,P,N,744912.98,744912.98,744912.98,26,Y,Y,Y,FSCAP7M9HW,PIMCO,US Fund Short-Term Bond,US Fund Short-Term Bond
2025-11-30,3NX39RBSV,WWLNX,CAPITAL GROUP,CAPITAL GROUP Growth Fund A,A,Y,PCG,BROKERAGE,BROKERAGE,FC/QC,SIM,S,N,403544.28,-403544.28,-403544.28,31,Y,Y,Y,FSINV8R1QP,capital group,US Fund Small Growth,US Fund Small Growth
2026-02-28,EDFQS3D63,XYKKX,INVESCO,INVESCO Allocation Fund A,A,Y,PCG,BROKERAGE,BROKERAGE,BROKERAGE,NON-RETIREMENT,P,N,3921989.37,3921989.37,3921989.37,45,Y,Y,Y,FSC8043975,Invesco,US Fund Tactical Allocation,US Fund Tactical Allocation
2025-11-30,4874FRHOC,JZGUX,INVESCO,INVESCO Bond Fund C,C,N,FCCS,ADVISORY,ADVISORY,PIM,IRA,S,N,4496608.6,-4496608.6,-4496608.6,38,Y,N,N,FSUSAFVJ1Z,Invesco,US Fund Short-Term Bond,US Fund Short-Term Bond
2025-05-31,4874FRHOC,JZGUX,INVESCO,INVESCO Bond Fund C,C,Y,WFAS,ADVISORY,ADVISORY,PIM,SIM,P,N,1202740.74,1202740.74,1202740.74,9,Y,Y,Y,FSUSAFVJ1Z,Invesco,US Fund Short-Term Bond,US Fund Short-Term Bond
2025-01-31,YYO4UDOJE,JTGJX,BLACKROCK,BLACKROCK Bond Fund INST,INST,Y,FINET,BROKERAGE,BROKERAGE,FC/QC,SEP,P,Y,1161103.95,1161103.95,1161103.95,18,Y,Y,Y,FSCAPSG2R8,BlackRock,US Fund Short-Term Bond,US Fund Short-Term Bond
2025-07-31,UVY8N1UTO,QGCTX,INVESCO,INVESCO Allocation Fund S,S,Y,FINET,ADVISORY,ADVISORY,FUNDSOURCE,IRA,P,N,3398634.44,3398634.44,3398634.44,10,Y,N,Y,FSINV12SDD,Invesco,US Fund Tactical Allocation,US Fund Tactical Allocation
2025-06-30,LFEWVZNVK,NLUCX,DWS FUNDS,DWS FUNDS Blend Fund INV,INV,Y,WFAS,ADVISORY,ADVISORY,ASSET ADVISOR,NON-RETIREMENT,P,N,458056.38,458056.38,458056.38,28,Y,Y,Y,FSINVF3PFW,DWS,US Fund Large Blend,US Fund Large Blend
2025-02-28,JH75LXO6Q,GGOGX,MFS,MFS Blend Fund A,A,Y,PCG,ADVISORY,ADVISORY,MASTERS,SIM,P,N,465774.77,465774.77,465774.77,6,Y,Y,N,FSCAPUR81B,MFS,US Fund Small Blend,US Fund Small Blend
2025-10-31,C8D1WJCIT,EKRMX,FRANKLIN TEMPLETON,FRANKLIN TEMPLETON Estate Fund C,C,Y,PCG,ADVISORY,ADVISORY,CUSTOMCHOICE,IRA,P,N,3426737.3,3426737.3,3426737.3,18,Y,Y,Y,FSC7392545,Franklin Templeton,US Fund Real Estate,US Fund Real Estate
2025-04-30,WX7PTX63C,EHTOX,DWS FUNDS,DWS FUNDS Allocation Fund A,A,Y,PCG,ADVISORY,ADVISORY,BROKERAGE,SIM,S,N,2479264.28,-2479264.28,-2479264.28,40,Y,N,Y,FSCAPPGOXS,DWS,US Fund Moderate Allocation,US Fund Moderate Allocation
2026-02-28,EAL2W37D4,GPNKX,FIDELITY,FIDELITY Blend Fund C,C,Y,FINET,ADVISORY,ADVISORY,FUNDSOURCE,SIM,S,N,3255358.77,-3255358.77,-3255358.77,26,N,Y,Y,FSUSAVKKPF,Fidelity,US Fund Large Blend,US Fund Large Blend
2025-10-31,QTL3Q4N89,MHJNX,MFS,MFS Blend Fund A,A,N,PCG,BROKERAGE,BROKERAGE,FUNDSOURCE,QP,S,N,1629768.24,-1629768.24,-1629768.24,12,Y,Y,N,FSCAPO8FAQ,MFS,US Fund Mid-Cap Blend,US Fund Mid-Cap Blend
2025-12-31,N1YBWMLUN,GWZPX,INVESCO,INVESCO Blend Fund A,A,Y,WFAS,ADVISORY,ADVISORY,FC/QC,SIM,P,N,3988528.76,3988528.76,3988528.76,20,Y,Y,Y,FSINVZILDX,Invesco,US Fund Large Blend,US Fund Large Blend
2025-02-28,S0R2SDS8B,UWNLX,AMERICAN FUNDS,AMERICAN FUNDS Bond Fund INST,INST,Y,FCCS,ADVISORY,ADVISORY,FC/QC,QP,P,N,2989870.31,2989870.31,2989870.31,24,Y,N,Y,FSC0723107,capital group,US Fund High Yield Bond,US Fund High Yield Bond
2025-02-28,0CVS4F8CG,PRGDX,T ROWE PRICE,T ROWE PRICE Bond Fund C,C,N,PCG,BROKERAGE,BROKERAGE,FC/QC,SEP,S,N,3288179.42,-3288179.42,-3288179.42,28,Y,Y,Y,FSINV5AYKJ,T. Rowe Price,US Fund Short-Term Bond,US Fund Short-Term Bond
2025-09-30,OQW9JA2M0,QUTIX,VANGUARD,VANGUARD Growth Fund C,C,N,WFAS,ADVISORY,ADVISORY,CUSTOMCHOICE,SEP,P,N,2876389.37,2876389.37,2876389.37,31,Y,Y,N,FSCAP2IIZJ,Vanguard,US Fund Large Growth,US Fund Large Growth
2026-02-28,6246HID25,KQEYX,FIRST EAGLE,FIRST EAGLE Growth Fund INST,INST,Y,PCG,ADVISORY,ADVISORY,PERSONALIZED UMA,SEP,S,N,708805.05,-708805.05,-708805.05,29,Y,Y,Y,FSUSAUK54B,First Eagle,US Fund Small Growth,US Fund Small Growth
2026-01-31,JSG65KXVF,TOUNX,FIRST EAGLE,FIRST EAGLE Blend Fund INST,INST,Y,WFAS,ADVISORY,ADVISORY,FUNDSOURCE,QP,S,N,113414.28,-113414.28,-113414.28,11,Y,Y,Y,FSCAP4FGYV,First Eagle,US Fund Small Blend,US Fund Small Blend
2025-11-30,8VMUHXID4,JTOUX,FRANKLIN TEMPLETON,FRANKLIN TEMPLETON Bond Fund INST,INST,Y,FINET,ADVISORY,ADVISORY,FUNDSOURCE,SIM,P,N,3202574.14,3202574.14,3202574.14,25,Y,Y,Y,FSINVCNRVP,Franklin Templeton,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond
2025-10-31,MO5BXXC02,CENDX,FRANKLIN TEMPLETON,FRANKLIN TEMPLETON Value Fund INST,INST,Y,WBS,ADVISORY,ADVISORY,MASTERS,SIM,P,N,4359960.66,4359960.66,4359960.66,41,Y,Y,Y,FSINV8HE3N,Franklin Templeton,US Fund Large Value,US Fund Large Value
2025-06-30,6246HID25,KQEYX,FIRST EAGLE,FIRST EAGLE Growth Fund INST,INST,Y,WFAS,BROKERAGE,BROKERAGE,ASSET ADVISOR,NON-RETIREMENT,P,N,2289574.0,2289574.0,2289574.0,16,Y,Y,Y,FSUSAUK54B,First Eagle,US Fund Small Growth,US Fund Small Growth
2025-07-31,WC4RTWUZK,AJOEX,MFS,MFS Bond Fund C,C,Y,FINET,ADVISORY,ADVISORY,CUSTOMCHOICE,QP,P,N,689767.56,689767.56,689767.56,19,Y,Y,Y,FSUSAR848N,MFS,US Fund Multisector Bond,US Fund Multisector Bond
2026-02-28,IUC039TEX,YENPX,DWS FUNDS,DWS FUNDS Bond Fund A,A,Y,FCCS,BROKERAGE,BROKERAGE,PERSONALIZED UMA,SIM,P,Y,48412.41,48412.41,48412.41,27,Y,Y,Y,FSUSA4DZT8,DWS,US Fund Multisector Bond,US Fund Multisector Bond
2025-01-31,E2ATN2TWD,IZSNX,FRANKLIN TEMPLETON,FRANKLIN TEMPLETON Bond Fund INST,INST,Y,PCG,ADVISORY,ADVISORY,PERSONALIZED UMA,QP,S,Y,1103037.27,-1103037.27,-1103037.27,50,Y,Y,Y,FSC7967512,Franklin Templeton,US Fund Short-Term Bond,US Fund Short-Term Bond
2026-01-31,DMLY4LYK8,VOLIX,BLACKROCK,BLACKROCK Value Fund C,C,Y,WFAS,BROKERAGE,BROKERAGE,PERSONALIZED UMA,QP,P,N,4954472.65,4954472.65,4954472.65,28,Y,N,Y,FSINVW6LMH,BlackRock,US Fund Large Value,US Fund Large Value
2026-02-28,3NX39RBSV,WWLNX,CAPITAL GROUP,CAPITAL GROUP Growth Fund A,A,Y,WBS,BROKERAGE,BROKERAGE,ASSET ADVISOR,NON-RETIREMENT,S,N,2248936.85,-2248936.85,-2248936.85,48,Y,Y,Y,FSINV8R1QP,capital group,US Fund Small Growth,US Fund Small Growth
2025-03-31,1KERPETIU,RJKTX,VANGUARD,VANGUARD Bond Fund A,A,Y,WBS,BROKERAGE,BROKERAGE,MASTERS,QP,S,N,3924354.13,-3924354.13,-3924354.13,21,N,Y,Y,FSINVZ17YR,Vanguard,US Fund Short-Term Bond,US Fund Short-Term Bond
2026-03-31,WC4RTWUZK,AJOEX,MFS,MFS Bond Fund C,C,Y,FCCS,BROKERAGE,BROKERAGE,MASTERS,NON-RETIREMENT,S,N,476578.21,-476578.21,-476578.21,9,Y,N,N,FSUSAR848N,MFS,US Fund Multisector Bond,US Fund Multisector Bond
2025-08-31,LJ8YRDDP0,JDBYX,VANGUARD,VANGUARD Bond Fund INST,INST,Y,PCG,ADVISORY,ADVISORY,ASSET ADVISOR,SIM,P,N,3162193.71,3162193.71,3162193.71,18,Y,N,Y,FSC4848373,Vanguard,US Fund High Yield Bond,US Fund High Yield Bond
2025-06-30,QTL3Q4N89,MHJNX,MFS,MFS Blend Fund A,A,Y,FCCS,ADVISORY,ADVISORY,PIM,IRA,P,N,4344604.36,4344604.36,4344604.36,26,Y,Y,Y,FSCAPO8FAQ,MFS,US Fund Mid-Cap Blend,US Fund Mid-Cap Blend
2025-06-30,DMLY4LYK8,VOLIX,BLACKROCK,BLACKROCK Value Fund C,C,Y,WBS,ADVISORY,ADVISORY,PIM,IRA,S,N,1689106.9,-1689106.9,-1689106.9,41,Y,Y,Y,FSINVW6LMH,BlackRock,US Fund Large Value,US Fund Large Value
2025-08-31,U7EEQTUL1,LVXLX,FIRST EAGLE,FIRST EAGLE Estate Fund INST,INST,Y,FCCS,BROKERAGE,BROKERAGE,MASTERS,NON-RETIREMENT,P,N,4959195.27,4959195.27,4959195.27,18,Y,Y,Y,FSUSAS7SPG,First Eagle,US Fund Real Estate,US Fund Real Estate
2025-01-31,WJCKJLTEI,SSBKX,FIRST EAGLE,FIRST EAGLE Blend Fund C,C,Y,FINET,ADVISORY,ADVISORY,ASSET ADVISOR,IRA,P,N,1527893.47,1527893.47,1527893.47,5,Y,Y,Y,FSC7422675,First Eagle,US Fund Small Blend,US Fund Small Blend
2025-01-31,4V30T9NT3,QWPSX,INVESCO,INVESCO Growth Fund C,C,Y,PCG,ADVISORY,ADVISORY,ASSET ADVISOR,NON-RETIREMENT,S,N,4085636.58,-4085636.58,-4085636.58,47,Y,Y,Y,FSCAP5YC33,Invesco,US Fund Small Growth,US Fund Small Growth
2025-03-31,3NX39RBSV,WWLNX,CAPITAL GROUP,CAPITAL GROUP Growth Fund A,A,Y,FINET,BROKERAGE,BROKERAGE,ASSET ADVISOR,QP,P,N,4066932.93,4066932.93,4066932.93,40,Y,Y,Y,FSINV8R1QP,capital group,US Fund Small Growth,US Fund Small Growth
2026-03-31,FB9W1Q5UZ,JKDRX,VANGUARD,VANGUARD Growth Fund A,A,Y,PCG,ADVISORY,ADVISORY,ASSET ADVISOR,QP,P,N,3432987.57,3432987.57,3432987.57,23,N,Y,Y,FSCAP3Y8BT,Vanguard,US Fund Large Growth,US Fund Large Growth
2025-11-30,BSWRPBJEK,WMAQX,JPMORGAN,JPMORGAN Growth Fund INV,INV,Y,WFAS,BROKERAGE,BROKERAGE,BROKERAGE,SEP,P,N,2767206.46,2767206.46,2767206.46,39,Y,N,Y,FSINVVT0VG,JPMorgan,US Fund Large Growth,US Fund Large Growth
2026-01-31,IUC039TEX,YENPX,DWS FUNDS,DWS FUNDS Bond Fund A,A,Y,WBS,ADVISORY,ADVISORY,ASSET ADVISOR,QP,S,N,4773380.22,-4773380.22,-4773380.22,1,N,N,Y,FSUSA4DZT8,DWS,US Fund Multisector Bond,US Fund Multisector Bond
2025-07-31,E2ATN2TWD,IZSNX,FRANKLIN TEMPLETON,FRANKLIN TEMPLETON Bond Fund INST,INST,Y,WFAS,BROKERAGE,BROKERAGE,BROKERAGE,QP,P,N,3414868.77,3414868.77,3414868.77,17,Y,N,N,FSC7967512,Franklin Templeton,US Fund Short-Term Bond,US Fund Short-Term Bond
2025-09-30,LJ8YRDDP0,JDBYX,VANGUARD,VANGUARD Bond Fund INST,INST,Y,WBS,ADVISORY,ADVISORY,CUSTOMCHOICE,SEP,P,N,3563289.07,3563289.07,3563289.07,6,Y,Y,N,FSC4848373,Vanguard,US Fund High Yield Bond,US Fund High Yield Bond
2025-06-30,8MGYN2JCP,LZEHX,NUVEEN,NUVEEN Estate Fund A,A,Y,PCG,BROKERAGE,BROKERAGE,FC/QC,NON-RETIREMENT,P,N,3171654.09,3171654.09,3171654.09,6,Y,Y,Y,FSCAP9SFEF,Nuveen,US Fund Real Estate,US Fund Real Estate
2025-05-31,CATVAZCCB,INHMX,CAPITAL GROUP,CAPITAL GROUP Blend Fund INST,INST,Y,PCG,ADVISORY,ADVISORY,BROKERAGE,NON-RETIREMENT,S,N,3290432.78,-3290432.78,-3290432.78,23,Y,N,Y,FSC7363842,capital group,US Fund Small Blend,US Fund Small Blend
2025-06-30,WJCKJLTEI,SSBKX,FIRST EAGLE,FIRST EAGLE Blend Fund C,C,Y,WFAS,BROKERAGE,BROKERAGE,BROKERAGE,SEP,P,N,3905729.34,3905729.34,3905729.34,18,Y,Y,N,FSC7422675,First Eagle,US Fund Small Blend,US Fund Small Blend
2025-08-31,4874FRHOC,JZGUX,INVESCO,INVESCO Bond Fund C,C,Y,PCG,ADVISORY,ADVISORY,MASTERS,IRA,P,N,1800939.42,1800939.42,1800939.42,44,Y,Y,Y,FSUSAFVJ1Z,Invesco,US Fund Short-Term Bond,US Fund Short-Term Bond
2026-02-28,JSG65KXVF,TOUNX,FIRST EAGLE,FIRST EAGLE Blend Fund INST,INST,Y,PCG,ADVISORY,ADVISORY,BROKERAGE,QP,S,N,1223134.98,-1223134.98,-1223134.98,46,Y,Y,Y,FSCAP4FGYV,First Eagle,US Fund Small Blend,US Fund Small Blend
2026-03-31,WYJXRPJ1E,LHRMX,INVESCO,INVESCO Bond Fund A,A,Y,WBS,ADVISORY,ADVISORY,BROKERAGE,NON-RETIREMENT,S,Y,1356654.16,-1356654.16,-1356654.16,34,N,N,Y,FSCAPRK315,Invesco,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond
2026-02-28,N1YBWMLUN,GWZPX,INVESCO,INVESCO Blend Fund A,A,Y,PCG,ADVISORY,ADVISORY,FUNDSOURCE,SEP,P,N,4224310.1,4224310.1,4224310.1,20,Y,Y,Y,FSINVZILDX,Invesco,US Fund Large Blend,US Fund Large Blend
2026-01-31,EDFQS3D63,XYKKX,INVESCO,INVESCO Allocation Fund A,A,Y,PCG,BROKERAGE,BROKERAGE,FC/QC,IRA,S,N,3662450.45,-3662450.45,-3662450.45,23,Y,Y,Y,FSC8043975,Invesco,US Fund Tactical Allocation,US Fund Tactical Allocation
2025-01-31,2960361I2,FEGTX,JPMORGAN,JPMORGAN Bond Fund A,A,Y,PCG,ADVISORY,ADVISORY,FUNDSOURCE,SIM,S,N,1881686.01,-1881686.01,-1881686.01,4,N,Y,Y,FSCAP0TE0V,JPMorgan,US Fund Multisector Bond,US Fund Multisector Bond
2026-03-31,JSG65KXVF,TOUNX,FIRST EAGLE,FIRST EAGLE Blend Fund INST,INST,Y,WBS,BROKERAGE,BROKERAGE,ASSET ADVISOR,QP,P,N,4227598.43,4227598.43,4227598.43,9,Y,Y,Y,FSCAP4FGYV,First Eagle,US Fund Small Blend,US Fund Small Blend
2025-07-31,CATVAZCCB,INHMX,CAPITAL GROUP,CAPITAL GROUP Blend Fund INST,INST,Y,FCCS,BROKERAGE,BROKERAGE,FC/QC,SEP,S,N,653976.08,-653976.08,-653976.08,18,Y,N,Y,FSC7363842,capital group,US Fund Small Blend,US Fund Small Blend
2025-02-28,KTSG7FXZV,VOVAX,CAPITAL GROUP,CAPITAL GROUP Bond Fund INST,INST,Y,WBS,ADVISORY,ADVISORY,FUNDSOURCE,SIM,P,N,822292.72,822292.72,822292.72,17,Y,Y,N,FSCAPU9MJ4,capital group,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond
