EOM_DT,MF_NM,MF_CLASS,ASSET_CLASS,CHANNEL,ACCT_TYP,PROGRAM,LEGACY_PROGRAM,RET_ACCT_TYPE,POS_MKT_VAL,POSITION_COUNT,Is_it_a_MF,Rec,ACL,Fund_ID,Brand,Mstar_Cat,US_cat
2026-01-31,CAPITAL GROUP Blend Fund INST,INST,Bond Fund,PCG,BROKERAGE,BROKERAGE,PERSONALIZED UMA,QP,239480658.96,313,Y,N,Y,FSC7363842,capital group,US Fund Small Blend,US Fund Small Blend
2025-01-31,VANGUARD Growth Fund A,A,Money Market Fund,PCG,BROKERAGE,BROKERAGE,FUNDSOURCE,SIM,84191009.48,212,Y,N,Y,FSCAP3Y8BT,Vanguard,US Fund Large Growth,US Fund Large Growth
2025-04-30,DWS FUNDS Bond Fund A,A,Balanced Fund,PCG,ADVISORY,ADVISORY,ASSET ADVISOR,QP,398162204.65,90,Y,Y,Y,FSCAPZUVDG,DWS,US Fund High Yield Bond,US Fund High Yield Bond
2025-08-31,FRANKLIN TEMPLETON Bond Fund INST,INST,Money Market Fund,PCG,ADVISORY,ADVISORY,FUNDSOURCE,QP,415297639.74,251,Y,Y,Y,FSC7967512,Franklin Templeton,US Fund Short-Term Bond,US Fund Short-Term Bond
2025-11-30,FRANKLIN TEMPLETON Bond Fund INST,INST,Money Market Fund,PCG,BROKERAGE,BROKERAGE,MASTERS,IRA,36791549.87,246,Y,N,N,FSC7967512,Franklin Templeton,US Fund Short-Term Bond,US Fund Short-Term Bond
2025-01-31,VANGUARD Allocation Fund INV,INV,Bond Fund,WBS,ADVISORY,ADVISORY,PIM,SIM,478922991.05,238,Y,Y,Y,FSUSAMIGJS,Vanguard,US Fund Tactical Allocation,US Fund Tactical Allocation
2025-05-31,T ROWE PRICE Blend Fund A,A,Bond Fund,PCG,BROKERAGE,BROKERAGE,BROKERAGE,IRA,271543079.06,186,Y,Y,Y,FSUSA99GZA,T. Rowe Price,US Fund Small Blend,US Fund Small Blend
2025-12-31,MFS Bond Fund C,C,Alternative Fund,WFAS,ADVISORY,ADVISORY,MASTERS,QP,69700726.96,239,Y,N,N,FSUSAR848N,MFS,US Fund Multisector Bond,US Fund Multisector Bond
2025-01-31,FIRST EAGLE Growth Fund INST,INST,International Equity Fund,FINET,BROKERAGE,BROKERAGE,FUNDSOURCE,IRA,85923828.26,226,Y,Y,Y,FSUSAUK54B,First Eagle,US Fund Small Growth,US Fund Small Growth
2025-09-30,FRANKLIN TEMPLETON Growth Fund INST,INST,Money Market Fund,PCG,ADVISORY,ADVISORY,CUSTOMCHOICE,IRA,32073504.03,230,Y,Y,Y,FSUSA9SEXI,Franklin Templeton,US Fund Small Growth,US Fund Small Growth
2025-05-31,INVESCO Bond Fund A,A,Alternative Fund,PCG,BROKERAGE,BROKERAGE,CUSTOMCHOICE,SIM,306555345.5,221,Y,Y,Y,FSC9366170,Invesco,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond
2025-03-31,FRANKLIN TEMPLETON Value Fund INST,INST,Balanced Fund,FINET,BROKERAGE,BROKERAGE,PIM,IRA,342231393.61,10,Y,Y,Y,FSINV8HE3N,Franklin Templeton,US Fund Large Value,US Fund Large Value
2025-02-28,MFS Bond Fund C,C,Balanced Fund,FINET,BROKERAGE,BROKERAGE,CUSTOMCHOICE,NON-RETIREMENT,214665748.28,89,Y,Y,Y,FSUSAR848N,MFS,US Fund Multisector Bond,US Fund Multisector Bond
2025-08-31,INVESCO Growth Fund C,C,Equity Fund,PCG,ADVISORY,ADVISORY,CUSTOMCHOICE,QP,115495348.36,362,Y,Y,Y,FSCAP5YC33,Invesco,US Fund Small Growth,US Fund Small Growth
2025-04-30,JPMORGAN Growth Fund INV,INV,Bond Fund,PCG,BROKERAGE,BROKERAGE,ASSET ADVISOR,SIM,383771657.44,73,Y,Y,N,FSINVVT0VG,JPMorgan,US Fund Large Growth,US Fund Large Growth
2026-02-28,FIRST EAGLE Growth Fund INST,INST,Equity Fund,PCG,ADVISORY,ADVISORY,FC/QC,SIM,306127544.98,429,Y,N,Y,FSUSAUK54B,First Eagle,US Fund Small Growth,US Fund Small Growth
2025-04-30,FRANKLIN TEMPLETON Estate Fund C,C,Balanced Fund,PCG,BROKERAGE,BROKERAGE,MASTERS,IRA,471436544.66,200,Y,Y,Y,FSC7392545,Franklin Templeton,US Fund Real Estate,US Fund Real Estate
2025-01-31,VANGUARD Growth Fund A,A,Alternative Fund,PCG,BROKERAGE,BROKERAGE,PIM,QP,13783284.22,169,Y,Y,Y,FSCAP853QJ,Vanguard,US Fund Large Growth,US Fund Large Growth
2025-10-31,PIMCO Blend Fund A,A,Bond Fund,WFAS,BROKERAGE,BROKERAGE,BROKERAGE,QP,64840483.25,50,Y,Y,N,FSINVNDQ6K,PIMCO,US Fund Small Blend,US Fund Small Blend
2026-01-31,BLACKROCK Blend Fund A,A,Alternative Fund,WBS,ADVISORY,ADVISORY,FC/QC,IRA,365417405.05,396,Y,Y,Y,FSINV1KDAD,BlackRock,US Fund Foreign Large Blend,US Fund Foreign Large Blend
2025-06-30,JPMORGAN Bond Fund A,A,Bond Fund,PCG,ADVISORY,ADVISORY,CUSTOMCHOICE,QP,467727431.82,167,Y,Y,N,FSCAP0TE0V,JPMorgan,US Fund Multisector Bond,US Fund Multisector Bond
2025-11-30,PIMCO Growth Fund A,A,Balanced Fund,PCG,ADVISORY,ADVISORY,BROKERAGE,SEP,248497154.19,208,Y,Y,N,FSCAPS2MJ6,PIMCO,US Fund Small Growth,US Fund Small Growth
2025-10-31,JPMORGAN Value Fund S,S,Equity Fund,FINET,ADVISORY,ADVISORY,ASSET ADVISOR,SEP,388157932.82,419,Y,Y,Y,FSUSAS5BKX,JPMorgan,US Fund Large Value,US Fund Large Value
2025-08-31,FIDELITY Bond Fund INST,INST,International Equity Fund,WBS,ADVISORY,ADVISORY,CUSTOMCHOICE,SIM,20236399.27,43,N,Y,Y,FSINVQUXZJ,Fidelity,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond
2025-01-31,INVESCO Bond Fund INST,INST,International Equity Fund,WFAS,ADVISORY,ADVISORY,BROKERAGE,QP,235470379.67,429,Y,Y,N,FSINV30AHC,Invesco,US Fund High Yield Bond,US Fund High Yield Bond
2026-02-28,T ROWE PRICE Blend Fund INST,INST,Bond Fund,PCG,BROKERAGE,BROKERAGE,PIM,SEP,479814166.6,394,Y,N,Y,FSINVVY2S9,T. Rowe Price,US Fund Large Blend,US Fund Large Blend
2025-01-31,FIDELITY Bond Fund INST,INST,International Equity Fund,FINET,ADVISORY,ADVISORY,FC/QC,SIM,160621525.64,254,Y,N,Y,FSINVQUXZJ,Fidelity,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond
2026-01-31,NUVEEN Blend Fund A,A,International Equity Fund,WBS,ADVISORY,ADVISORY,FUNDSOURCE,IRA,354335165.98,389,Y,Y,Y,FSUSAGQ1Y8,Nuveen,US Fund Foreign Large Blend,US Fund Foreign Large Blend
2025-06-30,DWS FUNDS Allocation Fund A,A,Equity Fund,FINET,BROKERAGE,BROKERAGE,FC/QC,IRA,274768662.39,457,Y,N,Y,FSCAPPGOXS,DWS,US Fund Moderate Allocation,US Fund Moderate Allocation
2026-01-31,LORD ABBETT Blend Fund INST,INST,Alternative Fund,WFAS,BROKERAGE,BROKERAGE,CUSTOMCHOICE,NON-RETIREMENT,58187040.65,106,Y,N,Y,FSINVDZ4HR,Lord Abbett,US Fund Foreign Large Blend,US Fund Foreign Large Blend
2025-01-31,AMERICAN FUNDS Bond Fund INST,INST,Balanced Fund,WBS,ADVISORY,ADVISORY,PERSONALIZED UMA,SIM,340395322.19,37,Y,Y,Y,FSC0723107,capital group,US Fund High Yield Bond,US Fund High Yield Bond
2025-10-31,VANGUARD Growth Fund C,C,Alternative Fund,PCG,BROKERAGE,BROKERAGE,PERSONALIZED UMA,SEP,195238421.12,55,Y,N,Y,FSCAP2IIZJ,Vanguard,US Fund Large Growth,US Fund Large Growth
2025-10-31,BLACKROCK Blend Fund INST,INST,International Equity Fund,WBS,BROKERAGE,BROKERAGE,CUSTOMCHOICE,SIM,52611017.01,465,Y,Y,N,FSUSA4B2GI,BlackRock,US Fund Foreign Large Blend,US Fund Foreign Large Blend
2025-04-30,CAPITAL GROUP Growth Fund A,A,International Equity Fund,WBS,ADVISORY,ADVISORY,PIM,NON-RETIREMENT,256706337.94,376,Y,N,N,FSINVHRONH,capital group,US Fund Large Growth,US Fund Large Growth
2025-07-31,MFS Bond Fund C,C,Balanced Fund,PCG,ADVISORY,ADVISORY,FUNDSOURCE,QP,233732445.82,357,Y,N,N,FSUSAR848N,MFS,US Fund Multisector Bond,US Fund Multisector Bond
2025-11-30,INVESCO Growth Fund C,C,International Equity Fund,PCG,ADVISORY,ADVISORY,MASTERS,QP,291217099.93,314,Y,N,Y,FSCAP5YC33,Invesco,US Fund Small Growth,US Fund Small Growth
2026-01-31,CAPITAL GROUP Growth Fund A,A,Alternative Fund,WBS,ADVISORY,ADVISORY,MASTERS,SEP,138588036.07,436,N,Y,Y,FSINV8R1QP,capital group,US Fund Small Growth,US Fund Small Growth
2025-12-31,FIRST EAGLE Blend Fund C,C,Balanced Fund,PCG,ADVISORY,ADVISORY,MASTERS,NON-RETIREMENT,148894222.96,232,Y,N,Y,FSC7422675,First Eagle,US Fund Small Blend,US Fund Small Blend
2025-01-31,VANGUARD Bond Fund INST,INST,Bond Fund,FINET,BROKERAGE,BROKERAGE,PIM,QP,326147095.17,264,Y,Y,Y,FSC4848373,Vanguard,US Fund High Yield Bond,US Fund High Yield Bond
2025-12-31,FRANKLIN TEMPLETON Bond Fund INST,INST,Alternative Fund,WFAS,ADVISORY,ADVISORY,FC/QC,SEP,253165466.46,161,Y,N,N,FSC7967512,Franklin Templeton,US Fund Short-Term Bond,US Fund Short-Term Bond
2025-06-30,INVESCO Allocation Fund A,A,International Equity Fund,WFAS,ADVISORY,ADVISORY,ASSET ADVISOR,SIM,238501823.57,159,N,Y,Y,FSC8043975,Invesco,US Fund Tactical Allocation,US Fund Tactical Allocation
2025-08-31,LORD ABBETT Blend Fund INST,INST,Equity Fund,FINET,BROKERAGE,BROKERAGE,PERSONALIZED UMA,IRA,403194846.73,431,Y,N,Y,FSINVDZ4HR,Lord Abbett,US Fund Foreign Large Blend,US Fund Foreign Large Blend
2025-06-30,NUVEEN Blend Fund A,A,Equity Fund,FINET,BROKERAGE,BROKERAGE,PERSONALIZED UMA,QP,267324010.62,199,Y,Y,Y,FSUSAGQ1Y8,Nuveen,US Fund Foreign Large Blend,US Fund Foreign Large Blend
2025-06-30,JPMORGAN Allocation Fund A,A,Bond Fund,PCG,ADVISORY,ADVISORY,FC/QC,QP,293954905.64,175,Y,Y,Y,FSUSAD1XUN,JPMorgan,US Fund Moderate Allocation,US Fund Moderate Allocation
2025-12-31,FIRST EAGLE Blend Fund INST,INST,Bond Fund,PCG,ADVISORY,ADVISORY,FC/QC,SEP,97823940.48,235,Y,Y,Y,FSCAP4FGYV,First Eagle,US Fund Small Blend,US Fund Small Blend
2025-05-31,NUVEEN Value Fund INV,INV,International Equity Fund,PCG,BROKERAGE,BROKERAGE,BROKERAGE,NON-RETIREMENT,69870067.15,66,Y,Y,Y,FSC8073988,Nuveen,US Fund Large Value,US Fund Large Value
2026-01-31,VANGUARD Bond Fund A,A,International Equity Fund,WFAS,BROKERAGE,BROKERAGE,FUNDSOURCE,SEP,157015957.67,177,Y,N,Y,FSINVZ17YR,Vanguard,US Fund Short-Term Bond,US Fund Short-Term Bond
2025-01-31,VANGUARD Growth Fund A,A,Balanced Fund,PCG,ADVISORY,ADVISORY,ASSET ADVISOR,NON-RETIREMENT,209077425.86,159,Y,N,Y,FSCAP3Y8BT,Vanguard,US Fund Large Growth,US Fund Large Growth
2026-01-31,JPMORGAN Growth Fund INV,INV,Bond Fund,PCG,ADVISORY,ADVISORY,ASSET ADVISOR,QP,281881041.53,475,Y,Y,Y,FSINVVT0VG,JPMorgan,US Fund Large Growth,US Fund Large Growth
2025-11-30,CAPITAL GROUP Bond Fund INST,INST,Money Market Fund,FINET,BROKERAGE,BROKERAGE,PIM,IRA,218827851.66,208,Y,Y,N,FSINV6Z5AS,capital group,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond
2025-11-30,AMERICAN FUNDS Growth Fund A,A,Equity Fund,FINET,ADVISORY,ADVISORY,PIM,SIM,148055004.63,215,Y,Y,Y,FSCAPBLFOC,capital group,US Fund Large Growth,US Fund Large Growth
2025-06-30,DWS FUNDS Allocation Fund A,A,Balanced Fund,WFAS,ADVISORY,ADVISORY,PIM,IRA,63078316.56,209,Y,Y,Y,FSCAPPGOXS,DWS,US Fund Moderate Allocation,US Fund Moderate Allocation
2025-08-31,INVESCO Allocation Fund A,A,Alternative Fund,FINET,BROKERAGE,BROKERAGE,MASTERS,NON-RETIREMENT,116081801.81,71,Y,N,Y,FSC8043975,Invesco,US Fund Tactical Allocation,US Fund Tactical Allocation
2025-01-31,JPMORGAN Allocation Fund INST,INST,Equity Fund,WFAS,ADVISORY,ADVISORY,BROKERAGE,QP,89012712.81,380,Y,Y,Y,FSCAPZ4DKB,JPMorgan,US Fund Tactical Allocation,US Fund Tactical Allocation
2025-07-31,PIMCO Blend Fund A,A,Bond Fund,WBS,BROKERAGE,BROKERAGE,CUSTOMCHOICE,NON-RETIREMENT,31081331.01,228,Y,Y,Y,FSINVNDQ6K,PIMCO,US Fund Small Blend,US Fund Small Blend
2025-08-31,PIMCO Bond Fund S,S,Alternative Fund,PCG,BROKERAGE,BROKERAGE,PERSONALIZED UMA,IRA,458847580.51,35,N,Y,Y,FSCAP7M9HW,PIMCO,US Fund Short-Term Bond,US Fund Short-Term Bond
2025-04-30,CAPITAL GROUP Blend Fund INST,INST,Balanced Fund,PCG,ADVISORY,ADVISORY,BROKERAGE,SIM,218240003.26,244,Y,N,Y,FSC7363842,capital group,US Fund Small Blend,US Fund Small Blend
2025-09-30,INVESCO Bond Fund C,C,Alternative Fund,FINET,BROKERAGE,BROKERAGE,FUNDSOURCE,QP,367359133.6,438,Y,N,Y,FSUSAFVJ1Z,Invesco,US Fund Short-Term Bond,US Fund Short-Term Bond
2026-01-31,AMERICAN FUNDS Bond Fund INST,INST,Equity Fund,PCG,BROKERAGE,BROKERAGE,PIM,NON-RETIREMENT,12494017.1,44,Y,N,Y,FSC0723107,capital group,US Fund High Yield Bond,US Fund High Yield Bond
2026-03-31,CAPITAL GROUP Blend Fund INST,INST,International Equity Fund,WFAS,ADVISORY,ADVISORY,FUNDSOURCE,SIM,222263496.1,144,Y,N,Y,FSC7363842,capital group,US Fund Small Blend,US Fund Small Blend
2025-09-30,FIDELITY Blend Fund A,A,International Equity Fund,FINET,ADVISORY,ADVISORY,PERSONALIZED UMA,NON-RETIREMENT,445337526.61,478,Y,Y,Y,FSUSA4BHGL,Fidelity,US Fund Small Blend,US Fund Small Blend
2026-02-28,VANGUARD Growth Fund C,C,Equity Fund,FINET,BROKERAGE,BROKERAGE,CUSTOMCHOICE,SIM,488021296.11,284,Y,Y,Y,FSCAP2IIZJ,Vanguard,US Fund Large Growth,US Fund Large Growth
2025-06-30,INVESCO Bond Fund A,A,Alternative Fund,PCG,ADVISORY,ADVISORY,MASTERS,SIM,204205520.38,433,Y,N,N,FSCAPRK315,Invesco,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond
2026-03-31,VANGUARD Bond Fund A,A,Bond Fund,PCG,BROKERAGE,BROKERAGE,MASTERS,SEP,88483173.54,237,Y,Y,Y,FSINVZ17YR,Vanguard,US Fund Short-Term Bond,US Fund Short-Term Bond
2025-08-31,INVESCO Bond Fund A,A,Equity Fund,WBS,ADVISORY,ADVISORY,PERSONALIZED UMA,IRA,405241230.92,358,Y,Y,Y,FSC9366170,Invesco,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond
2026-01-31,VANGUARD Allocation Fund INV,INV,Equity Fund,WFAS,BROKERAGE,BROKERAGE,CUSTOMCHOICE,QP,256998852.51,311,Y,N,Y,FSUSAMIGJS,Vanguard,US Fund Tactical Allocation,US Fund Tactical Allocation
2025-07-31,VANGUARD Growth Fund A,A,Bond Fund,FINET,ADVISORY,ADVISORY,CUSTOMCHOICE,SIM,343524353.58,37,Y,N,Y,FSCAP3Y8BT,Vanguard,US Fund Large Growth,US Fund Large Growth
2025-01-31,PIMCO Growth Fund A,A,Money Market Fund,PCG,ADVISORY,ADVISORY,ASSET ADVISOR,QP,470755985.07,18,Y,N,Y,FSCAPS2MJ6,PIMCO,US Fund Small Growth,US Fund Small Growth
2025-01-31,MFS Bond Fund C,C,Alternative Fund,PCG,BROKERAGE,BROKERAGE,FC/QC,SIM,152841910.29,242,N,Y,Y,FSUSAR848N,MFS,US Fund Multisector Bond,US Fund Multisector Bond
2025-03-31,FRANKLIN TEMPLETON Value Fund INST,INST,Equity Fund,WBS,ADVISORY,ADVISORY,CUSTOMCHOICE,SEP,66811401.54,351,Y,N,Y,FSINV8HE3N,Franklin Templeton,US Fund Large Value,US Fund Large Value
2025-02-28,BLACKROCK Value Fund C,C,Equity Fund,FINET,BROKERAGE,BROKERAGE,ASSET ADVISOR,QP,278205629.53,134,Y,Y,Y,FSINVW6LMH,BlackRock,US Fund Large Value,US Fund Large Value
2025-08-31,NUVEEN Value Fund INV,INV,Alternative Fund,WBS,ADVISORY,ADVISORY,FC/QC,SIM,436117689.68,53,Y,Y,Y,FSC8073988,Nuveen,US Fund Large Value,US Fund Large Value
2025-12-31,PIMCO Bond Fund S,S,Balanced Fund,WBS,BROKERAGE,BROKERAGE,BROKERAGE,SEP,113083125.97,218,N,Y,Y,FSCAP7M9HW,PIMCO,US Fund Short-Term Bond,US Fund Short-Term Bond
2025-07-31,JPMORGAN Allocation Fund INST,INST,Balanced Fund,PCG,ADVISORY,ADVISORY,FC/QC,IRA,334861961.71,168,N,Y,N,FSCAPZ4DKB,JPMorgan,US Fund Tactical Allocation,US Fund Tactical Allocation
2026-03-31,BLACKROCK Blend Fund INST,INST,Equity Fund,FINET,ADVISORY,ADVISORY,ASSET ADVISOR,SIM,277655913.82,186,Y,Y,Y,FSUSA4B2GI,BlackRock,US Fund Foreign Large Blend,US Fund Foreign Large Blend
2025-06-30,VANGUARD Growth Fund A,A,Bond Fund,WBS,BROKERAGE,BROKERAGE,FUNDSOURCE,QP,87853810.21,42,Y,Y,Y,FSCAP3Y8BT,Vanguard,US Fund Large Growth,US Fund Large Growth
2025-06-30,INVESCO Bond Fund A,A,Money Market Fund,FINET,BROKERAGE,BROKERAGE,MASTERS,SIM,337235727.53,335,Y,N,Y,FSC9366170,Invesco,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond
2025-07-31,JPMORGAN Allocation Fund INST,INST,Money Market Fund,WFAS,ADVISORY,ADVISORY,MASTERS,SEP,415716709.38,86,Y,Y,Y,FSCAPZ4DKB,JPMorgan,US Fund Tactical Allocation,US Fund Tactical Allocation
2026-01-31,BLACKROCK Blend Fund A,A,Bond Fund,FINET,BROKERAGE,BROKERAGE,BROKERAGE,SEP,41736133.63,146,Y,N,Y,FSINV1KDAD,BlackRock,US Fund Foreign Large Blend,US Fund Foreign Large Blend
2025-01-31,FRANKLIN TEMPLETON Growth Fund INST,INST,Balanced Fund,FINET,BROKERAGE,BROKERAGE,ASSET ADVISOR,NON-RETIREMENT,119215812.83,480,Y,Y,Y,FSUSA9SEXI,Franklin Templeton,US Fund Small Growth,US Fund Small Growth
2026-01-31,PIMCO Growth Fund A,A,Alternative Fund,FINET,ADVISORY,ADVISORY,PERSONALIZED UMA,SIM,266809923.16,381,Y,Y,N,FSCAPS2MJ6,PIMCO,US Fund Small Growth,US Fund Small Growth
2025-06-30,DWS FUNDS Bond Fund C,C,Money Market Fund,FINET,ADVISORY,ADVISORY,MASTERS,QP,328666738.04,410,Y,Y,Y,FSC8694117,DWS,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond
2025-09-30,VANGUARD Growth Fund C,C,International Equity Fund,PCG,ADVISORY,ADVISORY,BROKERAGE,QP,29203118.13,490,Y,Y,Y,FSCAP2IIZJ,Vanguard,US Fund Large Growth,US Fund Large Growth
2025-12-31,BLACKROCK Allocation Fund INST,INST,Balanced Fund,PCG,ADVISORY,ADVISORY,MASTERS,SEP,13453254.52,317,Y,Y,Y,FSCAPJJ3ZW,BlackRock,US Fund Moderate Allocation,US Fund Moderate Allocation
2026-01-31,AMERICAN FUNDS Bond Fund A,A,Money Market Fund,PCG,ADVISORY,ADVISORY,ASSET ADVISOR,IRA,450686033.85,47,Y,Y,Y,FSUSA1CZS7,capital group,US Fund High Yield Bond,US Fund High Yield Bond
2026-01-31,AMERICAN FUNDS Bond Fund A,A,International Equity Fund,PCG,BROKERAGE,BROKERAGE,MASTERS,SIM,338730133.74,460,Y,Y,N,FSUSA1CZS7,capital group,US Fund High Yield Bond,US Fund High Yield Bond
2025-10-31,LORD ABBETT Bond Fund A,A,Bond Fund,PCG,ADVISORY,ADVISORY,PIM,QP,206054339.0,257,Y,Y,Y,FSC2646842,Lord Abbett,US Fund High Yield Bond,US Fund High Yield Bond
2025-11-30,JPMORGAN Value Fund S,S,International Equity Fund,WFAS,ADVISORY,ADVISORY,BROKERAGE,IRA,442380633.28,76,Y,Y,Y,FSUSAS5BKX,JPMorgan,US Fund Large Value,US Fund Large Value
2025-08-31,BLACKROCK Blend Fund A,A,Balanced Fund,PCG,BROKERAGE,BROKERAGE,PIM,SEP,273347134.15,84,Y,Y,N,FSINV1KDAD,BlackRock,US Fund Foreign Large Blend,US Fund Foreign Large Blend
2026-03-31,CAPITAL GROUP Bond Fund INST,INST,Alternative Fund,WFAS,BROKERAGE,BROKERAGE,CUSTOMCHOICE,IRA,426939890.34,412,Y,N,Y,FSINV6Z5AS,capital group,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond
2025-05-31,AMERICAN FUNDS Growth Fund A,A,Balanced Fund,PCG,ADVISORY,ADVISORY,CUSTOMCHOICE,QP,123990909.61,234,N,Y,Y,FSCAPBLFOC,capital group,US Fund Large Growth,US Fund Large Growth
2025-11-30,DWS FUNDS Allocation Fund A,A,Bond Fund,FINET,ADVISORY,ADVISORY,ASSET ADVISOR,SEP,214918548.02,235,Y,Y,Y,FSCAPPGOXS,DWS,US Fund Moderate Allocation,US Fund Moderate Allocation
2025-06-30,BLACKROCK Value Fund C,C,Bond Fund,FINET,BROKERAGE,BROKERAGE,FC/QC,SIM,432143027.51,430,Y,N,Y,FSINVW6LMH,BlackRock,US Fund Large Value,US Fund Large Value
2025-08-31,FIDELITY Blend Fund A,A,Money Market Fund,WBS,ADVISORY,ADVISORY,PERSONALIZED UMA,SEP,146632369.11,169,Y,N,Y,FSUSA4BHGL,Fidelity,US Fund Small Blend,US Fund Small Blend
2025-04-30,FRANKLIN TEMPLETON Value Fund INST,INST,International Equity Fund,PCG,ADVISORY,ADVISORY,CUSTOMCHOICE,QP,495562746.43,110,Y,N,Y,FSINV8HE3N,Franklin Templeton,US Fund Large Value,US Fund Large Value
2025-10-31,JPMORGAN Bond Fund A,A,Balanced Fund,FINET,ADVISORY,ADVISORY,ASSET ADVISOR,QP,104436988.48,193,Y,Y,Y,FSCAP0TE0V,JPMorgan,US Fund Multisector Bond,US Fund Multisector Bond
2026-02-28,VANGUARD Growth Fund A,A,Balanced Fund,WFAS,ADVISORY,ADVISORY,MASTERS,SIM,302041209.08,217,Y,Y,Y,FSCAP3Y8BT,Vanguard,US Fund Large Growth,US Fund Large Growth
