row_id,date,period,year,month,month_name,product_name,category,region,channel,customer_segment,units_sold,returns,net_units,unit_price,unit_cost,gross_revenue,cogs,gross_profit,net_revenue,gross_margin_pct
28,2024-01-01,Jan 2024,2024,1,January,Frozen Pizza,Frozen,North,Supermarket,Students,207,4,203,3.03,1.45,627.21,300.15,327.06,615.09,52.15
29,2024-01-01,Jan 2024,2024,1,January,Ice Cream 1L,Frozen,North,Supermarket,Health-Conscious,260,6,254,7.16,3.44,1861.6,894.4,967.2,1818.64,51.96
30,2024-01-01,Jan 2024,2024,1,January,Frozen Fries 1kg,Frozen,North,Supermarket,Young Adults,375,11,364,5.82,2.79,2182.5,1046.25,1136.25,2118.48,52.06
31,2024-01-01,Jan 2024,2024,1,January,Fish Fingers 400g,Frozen,North,Supermarket,Seniors,435,7,428,6.94,3.33,3018.9,1448.55,1570.35,2970.32,52.02
32,2024-01-01,Jan 2024,2024,1,January,Frozen Peas 500g,Frozen,North,Supermarket,Young Adults,540,2,538,6.51,3.12,3515.4,1684.8,1830.6,3502.38,52.07
33,2024-01-01,Jan 2024,2024,1,January,Canned Tuna 185g,Canned Goods,North,Supermarket,Health-Conscious,390,3,387,1.67,0.75,651.3,292.5,358.8,646.29,55.09
34,2024-01-01,Jan 2024,2024,1,January,Canned Beans 400g,Canned Goods,North,Supermarket,Family,278,3,275,2.45,1.1,681.1,305.8,375.3,673.75,55.1
35,2024-01-01,Jan 2024,2024,1,January,Canned Tomatoes 400g,Canned Goods,North,Supermarket,Seniors,178,0,178,1.38,0.62,245.64,110.36,135.28,245.64,55.07
36,2024-01-01,Jan 2024,2024,1,January,Canned Corn 340g,Canned Goods,North,Supermarket,Students,322,3,319,1.69,0.76,544.18,244.72,299.46,539.11,55.03
37,2024-01-01,Jan 2024,2024,1,January,Tomato Ketchup 500ml,Condiments,North,Supermarket,Health-Conscious,245,7,238,3.57,1.54,874.65,377.3,497.35,849.66,56.86
38,2024-01-01,Jan 2024,2024,1,January,Mustard 250g,Condiments,North,Supermarket,Students,381,3,378,3.05,1.31,1162.05,499.11,662.94,1152.9,57.05
39,2024-01-01,Jan 2024,2024,1,January,Mayonnaise 400g,Condiments,North,Supermarket,Students,165,2,163,3.65,1.57,602.25,259.05,343.2,594.95,56.99
40,2024-01-01,Jan 2024,2024,1,January,BBQ Sauce 350ml,Condiments,North,Supermarket,Family,534,3,531,2.94,1.26,1569.96,672.84,897.12,1561.14,57.14
41,2024-01-01,Jan 2024,2024,1,January,Hot Sauce 150ml,Condiments,North,Supermarket,Seniors,147,0,147,3.26,1.4,479.22,205.8,273.42,479.22,57.06
42,2024-01-01,Jan 2024,2024,1,January,Potato Chips,Snacks,North,Convenience Store,Health-Conscious,229,3,226,3.42,1.44,783.18,329.76,453.42,772.92,57.89
43,2024-01-01,Jan 2024,2024,1,January,Tortilla Chips,Snacks,North,Convenience Store,Seniors,165,3,162,1.58,0.66,260.7,108.9,151.8,255.96,58.23
44,2024-01-01,Jan 2024,2024,1,January,Pretzels,Snacks,North,Convenience Store,Family,282,7,275,2.33,0.98,657.06,276.36,380.7,640.75,57.94
45,2024-01-01,Jan 2024,2024,1,January,Popcorn,Snacks,North,Convenience Store,Health-Conscious,118,0,118,2.17,0.91,256.06,107.38,148.68,256.06,58.06
46,2024-01-01,Jan 2024,2024,1,January,Crackers,Snacks,North,Convenience Store,Young Adults,149,1,148,3.71,1.56,552.79,232.44,320.35,549.08,57.95
47,2024-01-01,Jan 2024,2024,1,January,Nuts Mix,Snacks,North,Convenience Store,Young Adults,374,6,368,3.53,1.48,1320.22,553.52,766.7,1299.04,58.07
48,2024-01-01,Jan 2024,2024,1,January,Cola 500ml,Beverages,North,Convenience Store,Family,76,1,75,3.21,1.22,243.96,92.72,151.24,240.75,61.99
49,2024-01-01,Jan 2024,2024,1,January,Orange Juice 1L,Beverages,North,Convenience Store,Students,240,4,236,1.03,0.39,247.2,93.6,153.6,243.08,62.14
50,2024-01-01,Jan 2024,2024,1,January,Mineral Water 1.5L,Beverages,North,Convenience Store,Health-Conscious,329,7,322,1.94,0.74,638.26,243.46,394.8,624.68,61.86
51,2024-01-01,Jan 2024,2024,1,January,Energy Drink,Beverages,North,Convenience Store,Young Adults,131,0,131,0.88,0.33,115.28,43.23,72.05,115.28,62.5
52,2024-01-01,Jan 2024,2024,1,January,Iced Tea 330ml,Beverages,North,Convenience Store,Family,92,0,92,1.39,0.53,127.88,48.76,79.12,127.88,61.87
53,2024-01-01,Jan 2024,2024,1,January,Sports Drink,Beverages,North,Convenience Store,Health-Conscious,345,2,343,2.16,0.82,745.2,282.9,462.3,740.88,62.04
54,2024-01-01,Jan 2024,2024,1,January,Full Cream Milk 1L,Dairy,North,Convenience Store,Family,119,1,118,1.3,0.72,154.7,85.68,69.02,153.4,44.62
55,2024-01-01,Jan 2024,2024,1,January,Greek Yogurt 200g,Dairy,North,Convenience Store,Young Adults,117,3,114,1.96,1.08,229.32,126.36,102.96,223.44,44.9
56,2024-01-01,Jan 2024,2024,1,January,Cheddar Cheese 250g,Dairy,North,Convenience Store,Health-Conscious,173,1,172,3.67,2.02,634.91,349.46,285.45,631.24,44.96
57,2024-01-01,Jan 2024,2024,1,January,Butter 250g,Dairy,North,Convenience Store,Students,94,2,92,3.27,1.8,307.38,169.2,138.18,300.84,44.95
58,2024-01-01,Jan 2024,2024,1,January,Cream Cheese 150g,Dairy,North,Convenience Store,Young Adults,345,10,335,2.04,1.12,703.8,386.4,317.4,683.4,45.1
59,2024-01-01,Jan 2024,2024,1,January,White Bread Loaf,Bakery,North,Convenience Store,Students,280,2,278,2.77,1.39,775.6,389.2,386.4,770.06,49.82
60,2024-01-01,Jan 2024,2024,1,January,Whole Wheat Bread,Bakery,North,Convenience Store,Family,289,0,289,3.43,1.72,991.27,497.08,494.19,991.27,49.85
61,2024-01-01,Jan 2024,2024,1,January,Croissant 4pk,Bakery,North,Convenience Store,Health-Conscious,431,1,430,1.02,0.51,439.62,219.81,219.81,438.6,50.0
62,2024-01-01,Jan 2024,2024,1,January,Muffins 6pk,Bakery,North,Convenience Store,Health-Conscious,118,2,116,3.42,1.71,403.56,201.78,201.78,396.72,50.0
63,2024-01-01,Jan 2024,2024,1,January,Bagels 4pk,Bakery,North,Convenience Store,Family,184,1,183,3.09,1.54,568.56,283.36,285.2,565.47,50.16
64,2024-01-01,Jan 2024,2024,1,January,Milk Chocolate Bar,Confectionery,North,Convenience Store,Students,390,8,382,1.61,0.64,627.9,249.6,378.3,615.02,60.25
65,2024-01-01,Jan 2024,2024,1,January,Dark Chocolate Bar,Confectionery,North,Convenience Store,Health-Conscious,365,0,365,1.23,0.49,448.95,178.85,270.1,448.95,60.16
66,2024-01-01,Jan 2024,2024,1,January,Gummy Bears,Confectionery,North,Convenience Store,Family,396,2,394,2.91,1.16,1152.36,459.36,693.0,1146.54,60.14
67,2024-01-01,Jan 2024,2024,1,January,Jelly Beans,Confectionery,North,Convenience Store,Family,281,8,273,1.61,0.64,452.41,179.84,272.57,439.53,60.25
68,2024-01-01,Jan 2024,2024,1,January,Hard Candy Mix,Confectionery,North,Convenience Store,Health-Conscious,202,1,201,1.09,0.44,220.18,88.88,131.3,219.09,59.63
69,2024-01-01,Jan 2024,2024,1,January,Frozen Pizza,Frozen,North,Convenience Store,Seniors,312,8,304,3.03,1.45,945.36,452.4,492.96,921.12,52.15
70,2024-01-01,Jan 2024,2024,1,January,Ice Cream 1L,Frozen,North,Convenience Store,Family,427,1,426,7.16,3.44,3057.32,1468.88,1588.44,3050.16,51.96
71,2024-01-01,Jan 2024,2024,1,January,Frozen Fries 1kg,Frozen,North,Convenience Store,Family,449,0,449,5.82,2.79,2613.18,1252.71,1360.47,2613.18,52.06
72,2024-01-01,Jan 2024,2024,1,January,Fish Fingers 400g,Frozen,North,Convenience Store,Seniors,362,2,360,6.94,3.33,2512.28,1205.46,1306.82,2498.4,52.02
73,2024-01-01,Jan 2024,2024,1,January,Frozen Peas 500g,Frozen,North,Convenience Store,Students,430,8,422,6.51,3.12,2799.3,1341.6,1457.7,2747.22,52.07
74,2024-01-01,Jan 2024,2024,1,January,Canned Tuna 185g,Canned Goods,North,Convenience Store,Young Adults,59,0,59,1.67,0.75,98.53,44.25,54.28,98.53,55.09
75,2024-01-01,Jan 2024,2024,1,January,Canned Beans 400g,Canned Goods,North,Convenience Store,Young Adults,356,6,350,2.45,1.1,872.2,391.6,480.6,857.5,55.1
76,2024-01-01,Jan 2024,2024,1,January,Canned Tomatoes 400g,Canned Goods,North,Convenience Store,Seniors,137,0,137,1.38,0.62,189.06,84.94,104.12,189.06,55.07
77,2024-01-01,Jan 2024,2024,1,January,Canned Corn 340g,Canned Goods,North,Convenience Store,Young Adults,308,1,307,1.69,0.76,520.52,234.08,286.44,518.83,55.03
78,2024-01-01,Jan 2024,2024,1,January,Tomato Ketchup 500ml,Condiments,North,Convenience Store,Students,363,9,354,3.57,1.54,1295.91,559.02,736.89,1263.78,56.86
79,2024-01-01,Jan 2024,2024,1,January,Mustard 250g,Condiments,North,Convenience Store,Young Adults,203,6,197,3.05,1.31,619.15,265.93,353.22,600.85,57.05
80,2024-01-01,Jan 2024,2024,1,January,Mayonnaise 400g,Condiments,North,Convenience Store,Young Adults,213,3,210,3.65,1.57,777.45,334.41,443.04,766.5,56.99
81,2024-01-01,Jan 2024,2024,1,January,BBQ Sauce 350ml,Condiments,North,Convenience Store,Seniors,71,1,70,2.94,1.26,208.74,89.46,119.28,205.8,57.14
82,2024-01-01,Jan 2024,2024,1,January,Hot Sauce 150ml,Condiments,North,Convenience Store,Family,235,6,229,3.26,1.4,766.1,329.0,437.1,746.54,57.06
83,2024-01-01,Jan 2024,2024,1,January,Potato Chips,Snacks,North,Online,Young Adults,129,1,128,3.42,1.44,441.18,185.76,255.42,437.76,57.89
84,2024-01-01,Jan 2024,2024,1,January,Tortilla Chips,Snacks,North,Online,Young Adults,516,7,509,1.58,0.66,815.28,340.56,474.72,804.22,58.23
85,2024-01-01,Jan 2024,2024,1,January,Pretzels,Snacks,North,Online,Students,107,2,105,2.33,0.98,249.31,104.86,144.45,244.65,57.94
86,2024-01-01,Jan 2024,2024,1,January,Popcorn,Snacks,North,Online,Seniors,397,5,392,2.17,0.91,861.49,361.27,500.22,850.64,58.06
87,2024-01-01,Jan 2024,2024,1,January,Crackers,Snacks,North,Online,Health-Conscious,505,10,495,3.71,1.56,1873.55,787.8,1085.75,1836.45,57.95
88,2024-01-01,Jan 2024,2024,1,January,Nuts Mix,Snacks,North,Online,Seniors,93,0,93,3.53,1.48,328.29,137.64,190.65,328.29,58.07
89,2024-01-01,Jan 2024,2024,1,January,Cola 500ml,Beverages,North,Online,Health-Conscious,237,6,231,3.21,1.22,760.77,289.14,471.63,741.51,61.99
90,2024-01-01,Jan 2024,2024,1,January,Orange Juice 1L,Beverages,North,Online,Seniors,363,6,357,1.03,0.39,373.89,141.57,232.32,367.71,62.14
91,2024-01-01,Jan 2024,2024,1,January,Mineral Water 1.5L,Beverages,North,Online,Health-Conscious,150,1,149,1.94,0.74,291.0,111.0,180.0,289.06,61.86
92,2024-01-01,Jan 2024,2024,1,January,Energy Drink,Beverages,North,Online,Students,230,0,230,0.88,0.33,202.4,75.9,126.5,202.4,62.5
93,2024-01-01,Jan 2024,2024,1,January,Iced Tea 330ml,Beverages,North,Online,Family,211,5,206,1.39,0.53,293.29,111.83,181.46,286.34,61.87
94,2024-01-01,Jan 2024,2024,1,January,Sports Drink,Beverages,North,Online,Family,340,4,336,2.16,0.82,734.4,278.8,455.6,725.76,62.04
95,2024-01-01,Jan 2024,2024,1,January,Full Cream Milk 1L,Dairy,North,Online,Students,554,10,544,1.3,0.72,720.2,398.88,321.32,707.2,44.62
96,2024-01-01,Jan 2024,2024,1,January,Greek Yogurt 200g,Dairy,North,Online,Health-Conscious,511,4,507,1.96,1.08,1001.56,551.88,449.68,993.72,44.9
97,2024-01-01,Jan 2024,2024,1,January,Cheddar Cheese 250g,Dairy,North,Online,Students,264,2,262,3.67,2.02,968.88,533.28,435.6,961.54,44.96
98,2024-01-01,Jan 2024,2024,1,January,Butter 250g,Dairy,North,Online,Family,370,4,366,3.27,1.8,1209.9,666.0,543.9,1196.82,44.95
99,2024-01-01,Jan 2024,2024,1,January,Cream Cheese 150g,Dairy,North,Online,Health-Conscious,334,9,325,2.04,1.12,681.36,374.08,307.28,663.0,45.1
100,2024-01-01,Jan 2024,2024,1,January,White Bread Loaf,Bakery,North,Online,Students,397,10,387,2.77,1.39,1099.69,551.83,547.86,1071.99,49.82
101,2024-01-01,Jan 2024,2024,1,January,Whole Wheat Bread,Bakery,North,Online,Young Adults,293,1,292,3.43,1.72,1004.99,503.96,501.03,1001.56,49.85
102,2024-01-01,Jan 2024,2024,1,January,Croissant 4pk,Bakery,North,Online,Health-Conscious,364,5,359,1.02,0.51,371.28,185.64,185.64,366.18,50.0
103,2024-01-01,Jan 2024,2024,1,January,Muffins 6pk,Bakery,North,Online,Young Adults,188,5,183,3.42,1.71,642.96,321.48,321.48,625.86,50.0
104,2024-01-01,Jan 2024,2024,1,January,Bagels 4pk,Bakery,North,Online,Young Adults,357,2,355,3.09,1.54,1103.13,549.78,553.35,1096.95,50.16
105,2024-01-01,Jan 2024,2024,1,January,Milk Chocolate Bar,Confectionery,North,Online,Students,106,0,106,1.61,0.64,170.66,67.84,102.82,170.66,60.25
106,2024-01-01,Jan 2024,2024,1,January,Dark Chocolate Bar,Confectionery,North,Online,Health-Conscious,626,6,620,1.23,0.49,769.98,306.74,463.24,762.6,60.16
107,2024-01-01,Jan 2024,2024,1,January,Gummy Bears,Confectionery,North,Online,Young Adults,556,4,552,2.91,1.16,1617.96,644.96,973.0,1606.32,60.14
108,2024-01-01,Jan 2024,2024,1,January,Jelly Beans,Confectionery,North,Online,Family,111,3,108,1.61,0.64,178.71,71.04,107.67,173.88,60.25
109,2024-01-01,Jan 2024,2024,1,January,Hard Candy Mix,Confectionery,North,Online,Health-Conscious,323,7,316,1.09,0.44,352.07,142.12,209.95,344.44,59.63
110,2024-01-01,Jan 2024,2024,1,January,Frozen Pizza,Frozen,North,Online,Family,137,3,134,3.03,1.45,415.11,198.65,216.46,406.02,52.15
111,2024-01-01,Jan 2024,2024,1,January,Ice Cream 1L,Frozen,North,Online,Health-Conscious,242,5,237,7.16,3.44,1732.72,832.48,900.24,1696.92,51.96
112,2024-01-01,Jan 2024,2024,1,January,Frozen Fries 1kg,Frozen,North,Online,Health-Conscious,568,13,555,5.82,2.79,3305.76,1584.72,1721.04,3230.1,52.06
113,2024-01-01,Jan 2024,2024,1,January,Fish Fingers 400g,Frozen,North,Online,Students,618,14,604,6.94,3.33,4288.92,2057.94,2230.98,4191.76,52.02
114,2024-01-01,Jan 2024,2024,1,January,Frozen Peas 500g,Frozen,North,Online,Seniors,382,8,374,6.51,3.12,2486.82,1191.84,1294.98,2434.74,52.07
115,2024-01-01,Jan 2024,2024,1,January,Canned Tuna 185g,Canned Goods,North,Online,Seniors,586,14,572,1.67,0.75,978.62,439.5,539.12,955.24,55.09
116,2024-01-01,Jan 2024,2024,1,January,Canned Beans 400g,Canned Goods,North,Online,Young Adults,166,2,164,2.45,1.1,406.7,182.6,224.1,401.8,55.1
117,2024-01-01,Jan 2024,2024,1,January,Canned Tomatoes 400g,Canned Goods,North,Online,Health-Conscious,392,1,391,1.38,0.62,540.96,243.04,297.92,539.58,55.07
118,2024-01-01,Jan 2024,2024,1,January,Canned Corn 340g,Canned Goods,North,Online,Students,194,5,189,1.69,0.76,327.86,147.44,180.42,319.41,55.03
119,2024-01-01,Jan 2024,2024,1,January,Tomato Ketchup 500ml,Condiments,North,Online,Family,246,6,240,3.57,1.54,878.22,378.84,499.38,856.8,56.86
120,2024-01-01,Jan 2024,2024,1,January,Mustard 250g,Condiments,North,Online,Students,463,6,457,3.05,1.31,1412.15,606.53,805.62,1393.85,57.05
121,2024-01-01,Jan 2024,2024,1,January,Mayonnaise 400g,Condiments,North,Online,Students,128,3,125,3.65,1.57,467.2,200.96,266.24,456.25,56.99
122,2024-01-01,Jan 2024,2024,1,January,BBQ Sauce 350ml,Condiments,North,Online,Health-Conscious,108,3,105,2.94,1.26,317.52,136.08,181.44,308.7,57.14
123,2024-01-01,Jan 2024,2024,1,January,Hot Sauce 150ml,Condiments,North,Online,Seniors,474,4,470,3.26,1.4,1545.24,663.6,881.64,1532.2,57.06
124,2024-01-01,Jan 2024,2024,1,January,Potato Chips,Snacks,North,Wholesale,Students,661,17,644,3.42,1.44,2260.62,951.84,1308.78,2202.48,57.89
125,2024-01-01,Jan 2024,2024,1,January,Tortilla Chips,Snacks,North,Wholesale,Seniors,379,6,373,1.58,0.66,598.82,250.14,348.68,589.34,58.23
126,2024-01-01,Jan 2024,2024,1,January,Pretzels,Snacks,North,Wholesale,Seniors,619,12,607,2.33,0.98,1442.27,606.62,835.65,1414.31,57.94
127,2024-01-01,Jan 2024,2024,1,January,Popcorn,Snacks,North,Wholesale,Young Adults,342,9,333,2.17,0.91,742.14,311.22,430.92,722.61,58.06
128,2024-01-01,Jan 2024,2024,1,January,Crackers,Snacks,North,Wholesale,Health-Conscious,150,4,146,3.71,1.56,556.5,234.0,322.5,541.66,57.95
129,2024-01-01,Jan 2024,2024,1,January,Nuts Mix,Snacks,North,Wholesale,Students,117,1,116,3.53,1.48,413.01,173.16,239.85,409.48,58.07
130,2024-01-01,Jan 2024,2024,1,January,Cola 500ml,Beverages,North,Wholesale,Seniors,499,6,493,3.21,1.22,1601.79,608.78,993.01,1582.53,61.99
131,2024-01-01,Jan 2024,2024,1,January,Orange Juice 1L,Beverages,North,Wholesale,Seniors,378,5,373,1.03,0.39,389.34,147.42,241.92,384.19,62.14
132,2024-01-01,Jan 2024,2024,1,January,Mineral Water 1.5L,Beverages,North,Wholesale,Students,436,4,432,1.94,0.74,845.84,322.64,523.2,838.08,61.86
133,2024-01-01,Jan 2024,2024,1,January,Energy Drink,Beverages,North,Wholesale,Health-Conscious,161,0,161,0.88,0.33,141.68,53.13,88.55,141.68,62.5
134,2024-01-01,Jan 2024,2024,1,January,Iced Tea 330ml,Beverages,North,Wholesale,Family,401,12,389,1.39,0.53,557.39,212.53,344.86,540.71,61.87
135,2024-01-01,Jan 2024,2024,1,January,Sports Drink,Beverages,North,Wholesale,Young Adults,130,1,129,2.16,0.82,280.8,106.6,174.2,278.64,62.04
136,2024-01-01,Jan 2024,2024,1,January,Full Cream Milk 1L,Dairy,North,Wholesale,Young Adults,129,1,128,1.3,0.72,167.7,92.88,74.82,166.4,44.62
137,2024-01-01,Jan 2024,2024,1,January,Greek Yogurt 200g,Dairy,North,Wholesale,Health-Conscious,740,6,734,1.96,1.08,1450.4,799.2,651.2,1438.64,44.9
138,2024-01-01,Jan 2024,2024,1,January,Cheddar Cheese 250g,Dairy,North,Wholesale,Seniors,736,5,731,3.67,2.02,2701.12,1486.72,1214.4,2682.77,44.96
139,2024-01-01,Jan 2024,2024,1,January,Butter 250g,Dairy,North,Wholesale,Young Adults,266,4,262,3.27,1.8,869.82,478.8,391.02,856.74,44.95
140,2024-01-01,Jan 2024,2024,1,January,Cream Cheese 150g,Dairy,North,Wholesale,Seniors,243,6,237,2.04,1.12,495.72,272.16,223.56,483.48,45.1
141,2024-01-01,Jan 2024,2024,1,January,White Bread Loaf,Bakery,North,Wholesale,Young Adults,687,2,685,2.77,1.39,1902.99,954.93,948.06,1897.45,49.82
142,2024-01-01,Jan 2024,2024,1,January,Whole Wheat Bread,Bakery,North,Wholesale,Seniors,360,10,350,3.43,1.72,1234.8,619.2,615.6,1200.5,49.85
143,2024-01-01,Jan 2024,2024,1,January,Croissant 4pk,Bakery,North,Wholesale,Health-Conscious,276,0,276,1.02,0.51,281.52,140.76,140.76,281.52,50.0
144,2024-01-01,Jan 2024,2024,1,January,Muffins 6pk,Bakery,North,Wholesale,Seniors,548,2,546,3.42,1.71,1874.16,937.08,937.08,1867.32,50.0
145,2024-01-01,Jan 2024,2024,1,January,Bagels 4pk,Bakery,North,Wholesale,Family,780,13,767,3.09,1.54,2410.2,1201.2,1209.0,2370.03,50.16
146,2024-01-01,Jan 2024,2024,1,January,Milk Chocolate Bar,Confectionery,North,Wholesale,Seniors,768,20,748,1.61,0.64,1236.48,491.52,744.96,1204.28,60.25
147,2024-01-01,Jan 2024,2024,1,January,Dark Chocolate Bar,Confectionery,North,Wholesale,Students,875,5,870,1.23,0.49,1076.25,428.75,647.5,1070.1,60.16
148,2024-01-01,Jan 2024,2024,1,January,Gummy Bears,Confectionery,North,Wholesale,Health-Conscious,552,15,537,2.91,1.16,1606.32,640.32,966.0,1562.67,60.14
149,2024-01-01,Jan 2024,2024,1,January,Jelly Beans,Confectionery,North,Wholesale,Health-Conscious,817,8,809,1.61,0.64,1315.37,522.88,792.49,1302.49,60.25
150,2024-01-01,Jan 2024,2024,1,January,Hard Candy Mix,Confectionery,North,Wholesale,Family,679,8,671,1.09,0.44,740.11,298.76,441.35,731.39,59.63
151,2024-01-01,Jan 2024,2024,1,January,Frozen Pizza,Frozen,North,Wholesale,Students,655,18,637,3.03,1.45,1984.65,949.75,1034.9,1930.11,52.15
152,2024-01-01,Jan 2024,2024,1,January,Ice Cream 1L,Frozen,North,Wholesale,Students,583,10,573,7.16,3.44,4174.28,2005.52,2168.76,4102.68,51.96
153,2024-01-01,Jan 2024,2024,1,January,Frozen Fries 1kg,Frozen,North,Wholesale,Seniors,347,4,343,5.82,2.79,2019.54,968.13,1051.41,1996.26,52.06
154,2024-01-01,Jan 2024,2024,1,January,Fish Fingers 400g,Frozen,North,Wholesale,Health-Conscious,524,8,516,6.94,3.33,3636.56,1744.92,1891.64,3581.04,52.02
155,2024-01-01,Jan 2024,2024,1,January,Frozen Peas 500g,Frozen,North,Wholesale,Young Adults,118,0,118,6.51,3.12,768.18,368.16,400.02,768.18,52.07
156,2024-01-01,Jan 2024,2024,1,January,Canned Tuna 185g,Canned Goods,North,Wholesale,Students,435,8,427,1.67,0.75,726.45,326.25,400.2,713.09,55.09
157,2024-01-01,Jan 2024,2024,1,January,Canned Beans 400g,Canned Goods,North,Wholesale,Students,430,7,423,2.45,1.1,1053.5,473.0,580.5,1036.35,55.1
158,2024-01-01,Jan 2024,2024,1,January,Canned Tomatoes 400g,Canned Goods,North,Wholesale,Young Adults,106,3,103,1.38,0.62,146.28,65.72,80.56,142.14,55.07
159,2024-01-01,Jan 2024,2024,1,January,Canned Corn 340g,Canned Goods,North,Wholesale,Health-Conscious,387,5,382,1.69,0.76,654.03,294.12,359.91,645.58,55.03
160,2024-01-01,Jan 2024,2024,1,January,Tomato Ketchup 500ml,Condiments,North,Wholesale,Seniors,716,13,703,3.57,1.54,2556.12,1102.64,1453.48,2509.71,56.86
161,2024-01-01,Jan 2024,2024,1,January,Mustard 250g,Condiments,North,Wholesale,Students,499,4,495,3.05,1.31,1521.95,653.69,868.26,1509.75,57.05
